
  ----------------------------------------------------------------------------------------------------------------------------
  IPGKinematics  Version 3.6.11                                           Model: Querlenker                                   
  ----------------------------------------------------------------------------------------------------------------------------

   Table: Compliance - Torque Z at Wheel Center                           Demo data                                           

   WhTra  TorquZ_L TorquZ_R   TraX_L   TraX_R   TraY_L   TraY_R   TraZ_L   TraZ_R   RotX_L   RotX_R   RotY_L   RotY_R   RotZ_L   RotZ_R WhlLoadL WhlLoadR
     [mm]     [Nm]     [Nm]     [mm]     [mm]     [mm]     [mm]     [mm]     [mm]    [deg]    [deg]    [deg]    [deg]    [deg]    [deg]      [N]      [N]
    -5.00  -100.00     0.00     0.55     0.29     0.23    -0.29    -4.43    -4.45     4.96    -4.93     0.14     0.07    -0.16    -0.01   422.54   430.57
    -5.00     0.00   100.00     0.29     0.55     0.29    -0.23    -4.45    -4.43     4.93    -4.96     0.07     0.14     0.01     0.16   430.57   422.54
    -5.00     0.00  -100.00     0.29     0.03     0.29    -0.35    -4.44    -4.46     4.93    -4.89     0.07     0.00     0.01    -0.18   426.66   435.21
   -10.00   100.00     0.00     0.33     0.59     0.57    -0.51    -8.94    -8.92     4.83    -4.86     0.08     0.15     0.18    -0.01   311.69   304.36
   -10.00  -100.00     0.00     0.85     0.59     0.45    -0.51    -8.92    -8.94     4.89    -4.86     0.22     0.15    -0.16    -0.01   301.31   308.06
   -10.00     0.00   100.00     0.59     0.85     0.51    -0.45    -8.94    -8.92     4.86    -4.89     0.15     0.22     0.01     0.16   308.06   301.31
   -10.00     0.00  -100.00     0.59     0.33     0.51    -0.57    -8.92    -8.94     4.86    -4.83     0.15     0.08     0.01    -0.18   304.36   311.69
   -15.00   100.00     0.00     0.63     0.90     0.71    -0.65   -13.46   -13.45     4.77    -4.81     0.15     0.23     0.19    -0.02   196.78   190.78
   -15.00  -100.00     0.00     1.17     0.90     0.58    -0.65   -13.45   -13.46     4.84    -4.81     0.30     0.23    -0.16    -0.01   188.83   194.19
   -15.00     0.00   100.00     0.90     1.17     0.65    -0.58   -13.46   -13.45     4.81    -4.84     0.23     0.30     0.01     0.16   194.19   188.83
   -15.00     0.00  -100.00     0.90     0.63     0.65    -0.71   -13.45   -13.46     4.81    -4.77     0.23     0.15     0.02    -0.19   190.78   196.78
   -20.00   100.00     0.00     0.95     1.22     0.77    -0.71   -18.02   -18.01     4.73    -4.76     0.23     0.31     0.19    -0.01    90.16    85.58
   -20.00  -100.00     0.00     1.48     1.22     0.64    -0.71   -18.01   -18.02     4.80    -4.76     0.38     0.31    -0.16    -0.01    84.75    88.61
   -20.00     0.00   100.00     1.22     1.48     0.71    -0.64   -18.02   -18.01     4.76    -4.80     0.31     0.38     0.01     0.16    88.61    84.75
   -20.00     0.00  -100.00     1.22     0.95     0.71    -0.77   -18.01   -18.02     4.76    -4.73     0.31     0.23     0.01    -0.19    85.58    90.16
   -25.00   100.00     0.00     1.23     1.50     0.75    -0.69   -22.15   -22.07     4.69    -4.73     0.31     0.38     0.19    -0.01     0.00     0.00
   -25.00  -100.00     0.00     1.77     1.51     0.63    -0.69   -22.08   -22.14     4.77    -4.73     0.46     0.38    -0.17    -0.01     0.00     0.00
   -25.00     0.00   100.00     1.51     1.77     0.69    -0.63   -22.14   -22.08     4.73    -4.77     0.38     0.46     0.01     0.17     0.00     0.00
   -25.00     0.00  -100.00     1.50     1.23     0.69    -0.75   -22.07   -22.15     4.73    -4.69     0.38     0.31     0.01    -0.19     0.00     0.00
   -30.00   100.00     0.00     1.23     1.50     0.75    -0.69   -22.15   -22.07     4.69    -4.73     0.31     0.38     0.19    -0.01     0.00     0.00
   -30.00  -100.00     0.00     1.77     1.51     0.63    -0.69   -22.08   -22.14     4.77    -4.73     0.46     0.38    -0.17    -0.01     0.00     0.00
   -30.00     0.00   100.00     1.51     1.77     0.69    -0.63   -22.14   -22.08     4.73    -4.77     0.38     0.46     0.01     0.17     0.00     0.00
   -30.00     0.00  -100.00     1.50     1.23     0.69    -0.75   -22.07   -22.15     4.73    -4.69     0.38     0.31     0.01    -0.19     0.00     0.00
   -35.00   100.00     0.00     1.23     1.50     0.75    -0.69   -22.15   -22.07     4.69    -4.73     0.31     0.38     0.19    -0.01     0.00     0.00
   -35.00  -100.00     0.00     1.77     1.51     0.63    -0.69   -22.08   -22.14     4.77    -4.73     0.46     0.38    -0.17    -0.01     0.00     0.00
   -35.00     0.00   100.00     1.51     1.77     0.69    -0.63   -22.14   -22.08     4.73    -4.77     0.38     0.46     0.01     0.17     0.00     0.00
   -35.00     0.00  -100.00     1.50     1.23     0.69    -0.75   -22.07   -22.15     4.73    -4.69     0.38     0.31     0.01    -0.19     0.00     0.00
   -40.00   100.00     0.00     1.23     1.50     0.75    -0.69   -22.15   -22.07     4.69    -4.73     0.31     0.38     0.19    -0.01     0.00     0.00
   -40.00  -100.00     0.00     1.77     1.51     0.63    -0.69   -22.08   -22.14     4.77    -4.73     0.46     0.38    -0.17    -0.01     0.00     0.00
   -40.00     0.00   100.00     1.51     1.77     0.69    -0.63   -22.14   -22.08     4.73    -4.77     0.38     0.46     0.01     0.17     0.00     0.00
   -40.00     0.00  -100.00     1.50     1.23     0.69    -0.75   -22.07   -22.15     4.73    -4.69     0.38     0.31     0.01    -0.19     0.00     0.00
