
  ----------------------------------------------------------------------------------------------------------------------------
  IPGKinematics  Version 3.6.11                                           Model: Querlenker                                   
  ----------------------------------------------------------------------------------------------------------------------------

   Table: Steering Kinematics                                             Demo data                                           

   WhlTra  TraRack  WhlAngL  WhlAngR  CamberL KPOffset  TrackCh Ackerman TrackDif SteerDif AckError AckPCent StRodAng TrackDia  TurnDia
     [mm]     [mm]    [deg]    [deg]    [deg]     [mm]     [mm]    [deg]    [deg]    [deg]    [deg]      [%]    [deg]      [m]      [m]

    10.00   -40.00   -11.89   -12.05    -6.82    -2.59    -9.92   -10.74    -1.31    -0.16    -1.15    12.46    85.74    26.36    27.02
    10.00   -50.00   -14.87   -15.15    -7.08    -2.26   -15.65   -13.15    -2.00    -0.28    -1.72    13.90    88.83    21.16    21.87
    10.00   -60.00   -17.87   -18.28    -7.27    -1.88   -22.61   -15.48    -2.80    -0.41    -2.39    14.64    92.01    17.70    18.46
    10.00   -70.00   -20.90   -21.46    -7.39    -1.45   -30.79   -17.75    -3.71    -0.56    -3.16    14.98    95.30    15.22    16.03
    15.00     0.00    -0.04     0.04    -5.28    -3.48     0.41    -0.04     0.00    -0.09     0.09     0.00    74.10 ******** ********
    15.00    10.00     2.93     3.00    -4.70    -3.61    -0.23     2.84     0.09    -0.07     0.16   -83.50    71.40   103.83   104.33
    15.00    20.00     5.91     5.95    -4.07    -3.73    -2.14     5.57     0.34    -0.03     0.37    -9.15    68.77    52.43    52.98
    15.00    30.00     8.93     8.89    -3.36    -3.84    -5.32     8.18     0.75     0.04     0.71     4.77    66.20    35.14    35.74
    15.00    40.00    11.97    11.84    -2.58    -3.96    -9.76    10.67     1.30     0.13     1.17     9.78    63.69    26.47    27.12
    15.00    50.00    15.04    14.80    -1.73    -4.09   -15.45    13.07     1.97     0.24     1.73    12.15    61.24    21.26    21.96
    15.00    60.00    18.16    17.79    -0.81    -4.25   -22.37    15.39     2.77     0.37     2.40    13.41    58.85    17.78    18.54
    15.00    70.00    21.32    20.80     0.19    -4.45   -30.49    17.65     3.67     0.52     3.16    14.06    56.52    15.29    16.10
    15.00     0.00    -0.04     0.04    -5.28    -3.48     0.41     0.04    -0.00     0.09    -0.09     0.00    74.10 ******** ********
    15.00   -10.00    -3.00    -2.93    -5.78    -3.32    -0.23    -2.84    -0.09     0.07    -0.16   -83.50    76.86   103.83   104.33
    15.00   -20.00    -5.95    -5.91    -6.23    -3.12    -2.14    -5.57    -0.34     0.03    -0.37    -9.15    79.70    52.43    52.98
    15.00   -30.00    -8.89    -8.93    -6.61    -2.88    -5.32    -8.18    -0.75    -0.04    -0.71     4.77    82.61    35.14    35.74
    15.00   -40.00   -11.84   -11.97    -6.93    -2.60    -9.76   -10.67    -1.30    -0.13    -1.17     9.78    85.61    26.47    27.12
    15.00   -50.00   -14.80   -15.04    -7.18    -2.27   -15.45   -13.07    -1.97    -0.24    -1.73    12.15    88.69    21.26    21.96
    15.00   -60.00   -17.79   -18.16    -7.38    -1.90   -22.37   -15.39    -2.77    -0.37    -2.40    13.41    91.87    17.78    18.54
    15.00   -70.00   -20.80   -21.32    -7.50    -1.47   -30.49   -17.65    -3.67    -0.52    -3.16    14.06    95.16    15.29    16.10
    20.00     0.00    -0.06     0.06    -5.39    -3.49     0.46     0.06    -0.00     0.13    -0.13     0.00    73.98 ******** ********
    20.00    10.00     2.89     3.00    -4.81    -3.62    -0.17     2.81     0.08    -0.11     0.20  -133.51    71.29   103.70   104.19
    20.00    20.00     5.86     5.93    -4.18    -3.74    -2.07     5.53     0.33    -0.07     0.41   -21.54    68.66    52.54    53.09
    20.00    30.00     8.86     8.86    -3.47    -3.85    -5.22     8.12     0.74    -0.01     0.74    -0.83    66.09    35.25    35.85
    20.00    40.00    11.88    11.80    -2.70    -3.96    -9.64    10.60     1.28     0.08     1.19     6.55    63.59    26.56    27.22
    20.00    50.00    14.94    14.74    -1.85    -4.09   -15.29    12.99     1.95     0.20     1.75    10.02    61.14    21.34    22.05
    20.00    60.00    18.04    17.71    -0.93    -4.25   -22.17    15.30     2.74     0.33     2.41    11.89    58.75    17.85    18.61
    20.00    70.00    21.18    20.71     0.06    -4.45   -30.24    17.55     3.63     0.47     3.16    12.92    56.43    15.36    16.17
    20.00     0.00    -0.06     0.06    -5.39    -3.49     0.46    -0.06     0.00    -0.13     0.13     0.00    73.98 ******** ********
    20.00   -10.00    -3.00    -2.89    -5.89    -3.33    -0.17    -2.81    -0.08     0.11    -0.20  -133.51    76.74   103.70   104.19
    20.00   -20.00    -5.93    -5.86    -6.34    -3.13    -2.07    -5.53    -0.33     0.07    -0.41   -21.54    79.58    52.54    53.09
    20.00   -30.00    -8.86    -8.86    -6.72    -2.90    -5.22    -8.12    -0.74     0.01    -0.74    -0.83    82.49    35.25    35.85
    20.00   -40.00   -11.80   -11.88    -7.04    -2.62    -9.64   -10.60    -1.28    -0.08    -1.19     6.55    85.48    26.56    27.22
    20.00   -50.00   -14.74   -14.94    -7.30    -2.29   -15.29   -12.99    -1.95    -0.20    -1.75    10.02    88.56    21.34    22.05
    20.00   -60.00   -17.71   -18.04    -7.49    -1.91   -22.17   -15.30    -2.74    -0.33    -2.41    11.89    91.74    17.85    18.61
    20.00   -70.00   -20.71   -21.18    -7.62    -1.48   -30.24   -17.55    -3.63    -0.47    -3.16    12.92    95.02    15.36    16.17
