
  ----------------------------------------------------------------------------------------------------------------------------
  IPGKinematics  Version 3.6.11                                           Model: Querlenker                                   
  ----------------------------------------------------------------------------------------------------------------------------

   Table: Steering Kinematics                                             Demo data                                           

   WhlTra  TraRack  WhlAngL  WhlAngR  CamberL KPOffset  TrackCh Ackerman TrackDif SteerDif AckError AckPCent StRodAng TrackDia  TurnDia
     [mm]     [mm]    [deg]    [deg]    [deg]     [mm]     [mm]    [deg]    [deg]    [deg]    [deg]      [%]    [deg]      [m]      [m]

   -10.00    50.00    15.55    15.19    -1.28    -4.07   -16.96    13.45     2.09     0.36     1.74    17.14    61.89    20.73    21.45
   -10.00    60.00    18.76    18.26    -0.35    -4.23   -24.14    15.82     2.93     0.49     2.44    16.75    59.49    17.33    18.10
   -10.00    70.00    22.01    21.38     0.67    -4.45   -32.56    18.13     3.88     0.63     3.25    16.34    57.16    14.90    15.72
   -10.00     0.00     0.01    -0.01    -4.86    -3.42    -0.49    -0.01    -0.00    -0.03     0.03     0.00    74.77 ******** ********
   -10.00   -10.00    -3.03    -3.07    -5.37    -3.25    -1.15    -2.98    -0.09    -0.04    -0.05    42.92    77.54   102.77   103.27
   -10.00   -20.00    -6.06    -6.15    -5.81    -3.04    -3.14    -5.78    -0.37    -0.08    -0.28    22.56    80.38    51.42    51.97
   -10.00   -30.00    -9.10    -9.25    -6.18    -2.80    -6.44    -8.45    -0.80    -0.15    -0.65    18.92    83.30    34.35    34.96
   -10.00   -40.00   -12.13   -12.38    -6.49    -2.51   -11.06   -11.00    -1.38    -0.24    -1.13    17.71    86.31    25.84    26.50
   -10.00   -50.00   -15.19   -15.55    -6.73    -2.18   -16.96   -13.45    -2.09    -0.36    -1.74    17.14    89.40    20.73    21.45
   -10.00   -60.00   -18.26   -18.76    -6.91    -1.79   -24.14   -15.82    -2.93    -0.49    -2.44    16.75    92.59    17.33    18.10
   -10.00   -70.00   -21.38   -22.01    -7.02    -1.36   -32.56   -18.13    -3.88    -0.63    -3.25    16.34    95.90    14.90    15.72
   -15.00     0.00     0.01    -0.01    -4.81    -3.41    -0.80    -0.01    -0.00    -0.03     0.03     0.00    74.92 ******** ********
   -15.00    10.00     3.09     3.05    -4.23    -3.55    -1.47     2.99     0.10     0.04     0.05    46.04    72.22   102.19   102.69
   -15.00    20.00     6.18     6.10    -3.59    -3.68    -3.48     5.82     0.37     0.09     0.28    23.20    69.59    51.11    51.67
   -15.00    30.00     9.31     9.15    -2.87    -3.80    -6.81     8.50     0.81     0.15     0.65    19.08    67.01    34.15    34.76
   -15.00    40.00    12.46    12.21    -2.09    -3.92   -11.47    11.06     1.39     0.25     1.15    17.69    64.50    25.68    26.34
   -15.00    50.00    15.64    15.28    -1.22    -4.06   -17.43    13.53     2.12     0.36     1.76    17.03    62.05    20.60    21.32
   -15.00    60.00    18.87    18.38    -0.28    -4.23   -24.67    15.91     2.96     0.49     2.47    16.56    59.65    17.22    17.99
   -15.00    70.00    22.14    21.51     0.74    -4.44   -33.16    18.22     3.92     0.63     3.29    16.10    57.32    14.81    15.63
   -15.00     0.00     0.01    -0.01    -4.81    -3.41    -0.80    -0.01    -0.00    -0.03     0.03     0.00    74.92 ******** ********
   -15.00   -10.00    -3.05    -3.09    -5.31    -3.23    -1.47    -2.99    -0.10    -0.04    -0.05    46.04    77.69   102.19   102.69
   -15.00   -20.00    -6.10    -6.18    -5.75    -3.03    -3.48    -5.82    -0.37    -0.09    -0.28    23.20    80.54    51.11    51.67
   -15.00   -30.00    -9.15    -9.31    -6.12    -2.78    -6.81    -8.50    -0.81    -0.15    -0.65    19.08    83.46    34.15    34.76
   -15.00   -40.00   -12.21   -12.46    -6.42    -2.49   -11.47   -11.06    -1.39    -0.25    -1.15    17.69    86.46    25.68    26.34
   -15.00   -50.00   -15.28   -15.64    -6.66    -2.15   -17.43   -13.53    -2.12    -0.36    -1.76    17.03    89.56    20.60    21.32
   -15.00   -60.00   -18.38   -18.87    -6.84    -1.76   -24.67   -15.91    -2.96    -0.49    -2.47    16.56    92.75    17.22    17.99
   -15.00   -70.00   -21.51   -22.14    -6.94    -1.33   -33.16   -18.22    -3.92    -0.63    -3.29    16.10    96.05    14.81    15.63
   -20.00     0.00     0.01    -0.01    -4.76    -3.39    -1.17     0.01     0.00     0.03    -0.03     0.00    75.08 ******** ********
   -20.00    10.00     3.11     3.07    -4.19    -3.54    -1.84     3.01     0.10     0.04     0.06    42.32    72.38   101.49   101.99
   -20.00    20.00     6.22     6.14    -3.54    -3.67    -3.87     5.85     0.37     0.08     0.29    22.03    69.75    50.78    51.33
   -20.00    30.00     9.36     9.21    -2.83    -3.79    -7.23     8.55     0.82     0.15     0.67    18.38    67.18    33.92    34.53
   -20.00    40.00    12.53    12.29    -2.04    -3.91   -11.94    11.12     1.41     0.24     1.17    17.15    64.67    25.51    26.18
   -20.00    50.00    15.74    15.39    -1.17    -4.05   -17.95    13.60     2.14     0.35     1.79    16.54    62.22    20.47    21.19
   -20.00    60.00    18.99    18.50    -0.23    -4.22   -25.26    15.99     3.00     0.48     2.51    16.10    59.83    17.11    17.88
   -20.00    70.00    22.28    21.65     0.80    -4.44   -33.80    18.32     3.96     0.63     3.33    15.88    57.49    14.72    15.55
   -20.00     0.00     0.01    -0.01    -4.76    -3.39    -1.17     0.01     0.00     0.03    -0.03     0.00    75.08 ******** ********
   -20.00   -10.00    -3.07    -3.11    -5.27    -3.22    -1.84    -3.01    -0.10    -0.04    -0.06    42.32    77.85   101.49   101.99
   -20.00   -20.00    -6.14    -6.22    -5.70    -3.01    -3.87    -5.85    -0.37    -0.08    -0.29    22.03    80.69    50.78    51.33
   -20.00   -30.00    -9.21    -9.36    -6.07    -2.76    -7.23    -8.55    -0.82    -0.15    -0.67    18.38    83.61    33.92    34.53
   -20.00   -40.00   -12.29   -12.53    -6.37    -2.46   -11.94   -11.12    -1.41    -0.24    -1.17    17.15    86.62    25.51    26.18
   -20.00   -50.00   -15.39   -15.74    -6.61    -2.12   -17.95   -13.60    -2.14    -0.35    -1.79    16.54    89.71    20.47    21.19
   -20.00   -60.00   -18.50   -18.99    -6.78    -1.73   -25.26   -15.99    -3.00    -0.48    -2.51    16.10    92.91    17.11    17.88
   -20.00   -70.00   -21.65   -22.28    -6.88    -1.30   -33.80   -18.32    -3.96    -0.63    -3.33    15.88    96.20    14.72    15.55
   -25.00     0.00     0.01    -0.01    -4.73    -3.38    -1.53    -0.01    -0.00    -0.02     0.02     0.00    75.23 ******** ********
   -25.00    10.00     3.12     3.09    -4.15    -3.53    -2.21     3.03     0.10     0.04     0.06    36.20    72.54   100.81   101.30
   -25.00    20.00     6.26     6.17    -3.51    -3.66    -4.23     5.88     0.38     0.08     0.29    22.18    69.92    50.49    51.05
   -25.00    30.00     9.42     9.26    -2.79    -3.78    -7.60     8.59     0.83     0.16     0.66    19.56    67.35    33.76    34.37
   -25.00    40.00    12.61    12.34    -2.00    -3.91   -12.31    11.18     1.43     0.27     1.16    18.64    64.84    25.41    26.07
   -25.00    50.00    15.83    15.44    -1.13    -4.05   -18.34    13.67     2.16     0.39     1.77    18.17    62.39    20.40    21.12
   -25.00    60.00    19.10    18.56    -0.18    -4.22   -25.66    16.07     3.03     0.54     2.49    17.79    60.00    17.06    17.83
   -25.00    70.00    22.41    21.72     0.85    -4.43   -34.24    18.41     4.00     0.69     3.31    17.36    57.67    14.68    15.50
   -25.00     0.00     0.01    -0.01    -4.73    -3.38    -1.53    -0.01    -0.00    -0.02     0.02     0.00    75.23 ******** ********
   -25.00   -10.00    -3.09    -3.12    -5.24    -3.21    -2.21    -3.03    -0.10    -0.04    -0.06    36.20    77.99   100.81   101.30
   -25.00   -20.00    -6.17    -6.26    -5.67    -3.00    -4.23    -5.88    -0.38    -0.08    -0.29    22.18    80.82    50.49    51.05
   -25.00   -30.00    -9.26    -9.42    -6.05    -2.74    -7.60    -8.59    -0.83    -0.16    -0.66    19.56    83.72    33.76    34.37
   -25.00   -40.00   -12.34   -12.61    -6.35    -2.45   -12.31   -11.18    -1.43    -0.27    -1.16    18.64    86.71    25.41    26.07
   -25.00   -50.00   -15.44   -15.83    -6.59    -2.11   -18.34   -13.67    -2.16    -0.39    -1.77    18.17    89.80    20.40    21.12
   -25.00   -60.00   -18.56   -19.10    -6.76    -1.72   -25.66   -16.07    -3.03    -0.54    -2.49    17.79    92.98    17.06    17.83
   -25.00   -70.00   -21.72   -22.41    -6.86    -1.28   -34.24   -18.41    -4.00    -0.69    -3.31    17.36    96.27    14.68    15.50
   -30.00     0.00     0.01    -0.01    -4.73    -3.38    -1.53    -0.01    -0.00    -0.02     0.02     0.00    75.23 ******** ********
   -30.00    10.00     3.12     3.09    -4.15    -3.53    -2.21     3.03     0.10     0.04     0.06    36.20    72.54   100.81   101.30
   -30.00    20.00     6.26     6.18    -3.51    -3.66    -4.25     5.88     0.38     0.08     0.29    22.43    69.93    50.48    51.04
   -30.00    30.00     9.43     9.26    -2.78    -3.78    -7.65     8.60     0.83     0.17     0.66    20.08    67.37    33.75    34.36
   -30.00    40.00    12.63    12.35    -1.99    -3.91   -12.40    11.20     1.43     0.28     1.15    19.35    64.88    25.39    26.05
   -30.00    50.00    15.87    15.46    -1.11    -4.05   -18.48    13.70     2.17     0.41     1.76    19.02    62.46    20.38    21.10
   -30.00    60.00    19.16    18.59    -0.16    -4.22   -25.87    16.12     3.04     0.57     2.47    18.76    60.09    17.04    17.81
   -30.00    70.00    22.50    21.76     0.88    -4.43   -34.53    18.47     4.03     0.74     3.29    18.43    57.79    14.65    15.48
   -30.00     0.00     0.01    -0.01    -4.73    -3.38    -1.53    -0.01    -0.00    -0.02     0.02     0.00    75.23 ******** ********
   -30.00   -10.00    -3.09    -3.12    -5.24    -3.21    -2.21    -3.03    -0.10    -0.04    -0.06    36.20    77.99   100.81   101.30
   -30.00   -20.00    -6.18    -6.26    -5.67    -3.00    -4.25    -5.88    -0.38    -0.08    -0.29    22.43    80.82    50.48    51.04
   -30.00   -30.00    -9.26    -9.43    -6.04    -2.74    -7.65    -8.60    -0.83    -0.17    -0.66    20.08    83.73    33.75    34.36
   -30.00   -40.00   -12.35   -12.63    -6.35    -2.45   -12.40   -11.20    -1.43    -0.28    -1.15    19.35    86.73    25.39    26.05
   -30.00   -50.00   -15.46   -15.87    -6.58    -2.10   -18.48   -13.70    -2.17    -0.41    -1.76    19.02    89.82    20.38    21.10
   -30.00   -60.00   -18.59   -19.16    -6.75    -1.71   -25.87   -16.12    -3.04    -0.57    -2.47    18.76    93.01    17.04    17.81
   -30.00   -70.00   -21.76   -22.50    -6.84    -1.27   -34.53   -18.47    -4.03    -0.74    -3.29    18.43    96.31    14.65    15.48
   -35.00     0.00     0.01    -0.01    -4.73    -3.38    -1.53    -0.01    -0.00    -0.02     0.02     0.00    75.23 ******** ********
   -35.00    10.00     3.12     3.09    -4.15    -3.53    -2.21     3.03     0.10     0.04     0.06    36.20    72.54   100.81   101.30
   -35.00    20.00     6.26     6.18    -3.51    -3.66    -4.25     5.88     0.38     0.08     0.29    22.43    69.93    50.48    51.04
   -35.00    30.00     9.43     9.26    -2.78    -3.78    -7.65     8.60     0.83     0.17     0.66    20.08    67.37    33.75    34.36
   -35.00    40.00    12.63    12.35    -1.99    -3.91   -12.40    11.20     1.43     0.28     1.15    19.35    64.88    25.39    26.05
   -35.00    50.00    15.87    15.46    -1.11    -4.05   -18.48    13.70     2.17     0.41     1.76    19.02    62.46    20.38    21.10
   -35.00    60.00    19.16    18.59    -0.16    -4.22   -25.87    16.12     3.04     0.57     2.47    18.76    60.09    17.04    17.81
   -35.00    70.00    22.50    21.76     0.88    -4.43   -34.53    18.47     4.03     0.74     3.29    18.43    57.79    14.65    15.48
   -35.00     0.00     0.01    -0.01    -4.73    -3.38    -1.53    -0.01    -0.00    -0.02     0.02     0.00    75.23 ******** ********
   -35.00   -10.00    -3.09    -3.12    -5.24    -3.21    -2.21    -3.03    -0.10    -0.04    -0.06    36.20    77.99   100.81   101.30
   -35.00   -20.00    -6.18    -6.26    -5.67    -3.00    -4.25    -5.88    -0.38    -0.08    -0.29    22.43    80.82    50.48    51.04
   -35.00   -30.00    -9.26    -9.43    -6.04    -2.74    -7.65    -8.60    -0.83    -0.17    -0.66    20.08    83.73    33.75    34.36
   -35.00   -40.00   -12.35   -12.63    -6.35    -2.45   -12.40   -11.20    -1.43    -0.28    -1.15    19.35    86.73    25.39    26.05
   -35.00   -50.00   -15.46   -15.87    -6.58    -2.10   -18.48   -13.70    -2.17    -0.41    -1.76    19.02    89.82    20.38    21.10
   -35.00   -60.00   -18.59   -19.16    -6.75    -1.71   -25.87   -16.12    -3.04    -0.57    -2.47    18.76    93.01    17.04    17.81
   -35.00   -70.00   -21.76   -22.50    -6.84    -1.27   -34.53   -18.47    -4.03    -0.74    -3.29    18.43    96.31    14.65    15.48
   -40.00     0.00     0.01    -0.01    -4.73    -3.38    -1.53    -0.01    -0.00    -0.02     0.02     0.00    75.23 ******** ********
   -40.00    10.00     3.12     3.09    -4.15    -3.53    -2.21     3.03     0.10     0.04     0.06    36.20    72.54   100.81   101.30
   -40.00    20.00     6.26     6.18    -3.51    -3.66    -4.25     5.88     0.38     0.08     0.29    22.43    69.93    50.48    51.04
   -40.00    30.00     9.43     9.26    -2.78    -3.78    -7.65     8.60     0.83     0.17     0.66    20.08    67.37    33.75    34.36
   -40.00    40.00    12.63    12.35    -1.99    -3.91   -12.40    11.20     1.43     0.28     1.15    19.35    64.88    25.39    26.05
   -40.00    50.00    15.87    15.46    -1.11    -4.05   -18.48    13.70     2.17     0.41     1.76    19.02    62.46    20.38    21.10
   -40.00    60.00    19.16    18.59    -0.16    -4.22   -25.87    16.12     3.04     0.57     2.47    18.76    60.09    17.04    17.81
   -40.00    70.00    22.50    21.76     0.88    -4.43   -34.53    18.47     4.03     0.74     3.29    18.43    57.79    14.65    15.48
   -40.00     0.00     0.01    -0.01    -4.73    -3.38    -1.53    -0.01    -0.00    -0.02     0.02     0.00    75.23 ******** ********
   -40.00   -10.00    -3.09    -3.12    -5.24    -3.21    -2.21    -3.03    -0.10    -0.04    -0.06    36.20    77.99   100.81   101.30
   -40.00   -20.00    -6.18    -6.26    -5.67    -3.00    -4.25    -5.88    -0.38    -0.08    -0.29    22.43    80.82    50.48    51.04
   -40.00   -30.00    -9.26    -9.43    -6.04    -2.74    -7.65    -8.60    -0.83    -0.17    -0.66    20.08    83.73    33.75    34.36
   -40.00   -40.00   -12.35   -12.63    -6.35    -2.45   -12.40   -11.20    -1.43    -0.28    -1.15    19.35    86.73    25.39    26.05
   -40.00   -50.00   -15.46   -15.87    -6.58    -2.10   -18.48   -13.70    -2.17    -0.41    -1.76    19.02    89.82    20.38    21.10
   -40.00   -60.00   -18.59   -19.16    -6.75    -1.71   -25.87   -16.12    -3.04    -0.57    -2.47    18.76    93.01    17.04    17.81
   -40.00   -70.00   -21.76   -22.50    -6.84    -1.27   -34.53   -18.47    -4.03    -0.74    -3.29    18.43    96.31    14.65    15.48
