
  ----------------------------------------------------------------------------------------------------------------------------
  IPGKinematics  Version 3.6.11                                           Model: Querlenker                                   
  ----------------------------------------------------------------------------------------------------------------------------

   Table: Compliance - Force Y at Wheel Center                            Demo data                                           

   WhTra  ForceY_L ForceY_R   TraX_L   TraX_R   TraY_L   TraY_R   TraZ_L   TraZ_R   RotX_L   RotX_R   RotY_L   RotY_R   RotZ_L   RotZ_R WhlLoadL WhlLoadR
     [mm]      [N]      [N]     [mm]     [mm]     [mm]     [mm]     [mm]     [mm]    [deg]    [deg]    [deg]    [deg]    [deg]    [deg]      [N]      [N]

    -5.00  1000.00     0.00     0.19     0.29     0.38    -0.29    -4.62    -4.47     4.92    -4.93     0.07     0.07     0.04    -0.01   471.68   435.57
    -5.00 -1000.00     0.00     0.39     0.29     0.20    -0.29    -4.27    -4.42     4.93    -4.93     0.07     0.07    -0.03    -0.01   384.54   421.49
    -5.00     0.00  1000.00     0.29     0.39     0.29    -0.20    -4.42    -4.27     4.93    -4.93     0.07     0.07     0.01     0.03   421.49   384.54
    -5.00     0.00 -1000.00     0.29     0.19     0.29    -0.38    -4.47    -4.62     4.93    -4.92     0.07     0.07     0.01    -0.04   435.57   471.68
   -10.00  1000.00     0.00     0.49     0.59     0.59    -0.51    -9.05    -8.95     4.86    -4.86     0.15     0.15     0.05    -0.01   336.38   311.25
   -10.00 -1000.00     0.00     0.70     0.59     0.43    -0.51    -8.81    -8.91     4.86    -4.86     0.15     0.15    -0.02    -0.01   275.31   301.05
   -10.00     0.00  1000.00     0.59     0.70     0.51    -0.43    -8.91    -8.81     4.86    -4.86     0.15     0.15     0.01     0.02   301.05   275.31
   -10.00     0.00 -1000.00     0.59     0.49     0.51    -0.59    -8.95    -9.05     4.86    -4.86     0.15     0.15     0.01    -0.05   311.25   336.38
   -15.00  1000.00     0.00     0.79     0.90     0.73    -0.65   -13.52   -13.47     4.80    -4.81     0.23     0.23     0.05    -0.01   208.97   195.84
   -15.00 -1000.00     0.00     1.01     0.90     0.57    -0.65   -13.39   -13.44     4.81    -4.81     0.23     0.23    -0.02    -0.02   175.59   189.05
   -15.00     0.00  1000.00     0.90     1.01     0.65    -0.57   -13.44   -13.39     4.81    -4.81     0.23     0.23     0.02     0.02   189.05   175.59
   -15.00     0.00 -1000.00     0.90     0.79     0.65    -0.73   -13.47   -13.52     4.81    -4.80     0.23     0.23     0.01    -0.05   195.84   208.97
   -20.00  1000.00     0.00     1.10     1.22     0.78    -0.71   -18.02   -18.02     4.76    -4.76     0.31     0.31     0.05    -0.01    89.05    89.04
   -20.00 -1000.00     0.00     1.33     1.22     0.63    -0.71   -18.01   -18.01     4.76    -4.76     0.31     0.31    -0.02    -0.01    85.12    85.11
   -20.00     0.00  1000.00     1.22     1.33     0.71    -0.63   -18.01   -18.01     4.76    -4.76     0.31     0.31     0.01     0.02    85.11    85.12
   -20.00     0.00 -1000.00     1.22     1.10     0.71    -0.78   -18.02   -18.02     4.76    -4.76     0.31     0.31     0.01    -0.05    89.04    89.05
   -25.00  1000.00     0.00     1.36     1.50     0.77    -0.69   -21.70   -22.00     4.73    -4.73     0.37     0.38     0.05    -0.01     0.00     0.00
   -25.00 -1000.00     0.00     1.66     1.51     0.61    -0.69   -22.64   -22.25     4.73    -4.73     0.40     0.39    -0.03    -0.01     0.00     0.00
   -25.00     0.00  1000.00     1.51     1.66     0.69    -0.61   -22.25   -22.64     4.73    -4.73     0.39     0.40     0.01     0.03     0.00     0.00
   -25.00     0.00 -1000.00     1.50     1.36     0.69    -0.77   -22.00   -21.70     4.73    -4.73     0.38     0.37     0.01    -0.05     0.00     0.00
   -30.00  1000.00     0.00     1.36     1.50     0.77    -0.69   -21.70   -22.00     4.73    -4.73     0.37     0.38     0.05    -0.01     0.00     0.00
   -30.00 -1000.00     0.00     1.66     1.51     0.61    -0.69   -22.64   -22.25     4.73    -4.73     0.40     0.39    -0.03    -0.01     0.00     0.00
   -30.00     0.00  1000.00     1.51     1.66     0.69    -0.61   -22.25   -22.64     4.73    -4.73     0.39     0.40     0.01     0.03     0.00     0.00
   -30.00     0.00 -1000.00     1.50     1.36     0.69    -0.77   -22.00   -21.70     4.73    -4.73     0.38     0.37     0.01    -0.05     0.00     0.00
   -35.00  1000.00     0.00     1.36     1.50     0.77    -0.69   -21.70   -22.00     4.73    -4.73     0.37     0.38     0.05    -0.01     0.00     0.00
   -35.00 -1000.00     0.00     1.66     1.51     0.61    -0.69   -22.64   -22.25     4.73    -4.73     0.40     0.39    -0.03    -0.01     0.00     0.00
   -35.00     0.00  1000.00     1.51     1.66     0.69    -0.61   -22.25   -22.64     4.73    -4.73     0.39     0.40     0.01     0.03     0.00     0.00
   -35.00     0.00 -1000.00     1.50     1.36     0.69    -0.77   -22.00   -21.70     4.73    -4.73     0.38     0.37     0.01    -0.05     0.00     0.00
   -40.00  1000.00     0.00     1.36     1.50     0.77    -0.69   -21.70   -22.00     4.73    -4.73     0.37     0.38     0.05    -0.01     0.00     0.00
   -40.00 -1000.00     0.00     1.66     1.51     0.61    -0.69   -22.64   -22.25     4.73    -4.73     0.40     0.39    -0.03    -0.01     0.00     0.00
   -40.00     0.00  1000.00     1.51     1.66     0.69    -0.61   -22.25   -22.64     4.73    -4.73     0.39     0.40     0.01     0.03     0.00     0.00
   -40.00     0.00 -1000.00     1.50     1.36     0.69    -0.77   -22.00   -21.70     4.73    -4.73     0.38     0.37     0.01    -0.05     0.00     0.00
