
  ----------------------------------------------------------------------------------------------------------------------------
  IPGKinematics  Version 3.6.11                                           Model: Querlenker                                   
  ----------------------------------------------------------------------------------------------------------------------------

   Table: Compliance - Force Z at Wheel Center                            Demo data                                           

   WhTra  ForceZ_L ForceZ_R   TraX_L   TraX_R   TraY_L   TraY_R   TraZ_L   TraZ_R   RotX_L   RotX_R   RotY_L   RotY_R   RotZ_L   RotZ_R WhlLoadL WhlLoadR
     [mm]      [N]      [N]     [mm]     [mm]     [mm]     [mm]     [mm]     [mm]    [deg]    [deg]    [deg]    [deg]    [deg]    [deg]      [N]      [N]

    -5.00  1000.00     0.00    -0.34     0.26    -0.35    -0.20     4.71    -3.55     1.11    -0.92    -0.05     0.03    -0.03    -0.03     0.00   215.28
    -5.00 -1000.00     0.00     0.53     0.30     0.45    -0.32    -7.81    -4.74     0.87    -0.93     0.13     0.09     0.02    -0.01  1260.07   505.81
    -5.00     0.00  1000.00     0.26    -0.34     0.20     0.35    -3.55     4.71     0.92    -1.11     0.03    -0.05     0.03     0.03   215.28     0.00
    -5.00     0.00 -1000.00     0.30     0.53     0.32    -0.45    -4.74    -7.81     0.93    -0.87     0.09     0.13     0.01    -0.02   505.81  1260.07
   -10.00  1000.00     0.00    -0.23     0.55    -0.18    -0.42     2.91    -7.89     1.07    -0.85    -0.02     0.10    -0.03    -0.04     0.00    56.53
   -10.00 -1000.00     0.00     0.84     0.60     0.61    -0.53   -12.36    -9.19     0.82    -0.86     0.21     0.16     0.03    -0.02  1154.33   375.14
   -10.00     0.00  1000.00     0.55    -0.23     0.42     0.18    -7.89     2.91     0.85    -1.07     0.10    -0.02     0.04     0.03    56.53     0.00
   -10.00     0.00 -1000.00     0.60     0.84     0.53    -0.61    -9.19   -12.36     0.86    -0.82     0.16     0.21     0.02    -0.03   375.14  1154.33
   -15.00  1000.00     0.00    -0.19     0.67    -0.12    -0.49     2.24    -9.60     1.06    -0.83    -0.00     0.13    -0.02    -0.05     0.00     0.00
   -15.00 -1000.00     0.00     1.16     0.91     0.69    -0.66   -16.96   -13.68     0.77    -0.81     0.29     0.24     0.03    -0.03  1057.56   252.55
   -15.00     0.00  1000.00     0.67    -0.19     0.49     0.12    -9.60     2.24     0.83    -1.06     0.13    -0.00     0.05     0.02     0.00     0.00
   -15.00     0.00 -1000.00     0.91     1.16     0.66    -0.69   -13.68   -16.96     0.81    -0.77     0.24     0.29     0.03    -0.03   252.55  1057.56
