
  ----------------------------------------------------------------------------------------------------------------------------
  IPGKinematics  Version 3.6.11                                           Model: Querlenker                                   
  ----------------------------------------------------------------------------------------------------------------------------

   Table: Compliance - Torque X at Wheel Center                           Demo data                                           

   WhTra  TorquX_L TorquX_R   TraX_L   TraX_R   TraY_L   TraY_R   TraZ_L   TraZ_R   RotX_L   RotX_R   RotY_L   RotY_R   RotZ_L   RotZ_R WhlLoadL WhlLoadR
     [mm]     [Nm]     [Nm]     [mm]     [mm]     [mm]     [mm]     [mm]     [mm]    [deg]    [deg]    [deg]    [deg]    [deg]    [deg]      [N]      [N]
    -5.00  -100.00     0.00     0.27     0.29     0.30    -0.29    -4.54    -4.44     4.91    -4.93     0.05     0.07     0.04    -0.01   453.35   428.07
    -5.00     0.00   100.00     0.29     0.27     0.29    -0.30    -4.44    -4.54     4.93    -4.91     0.07     0.05     0.01    -0.04   428.07   453.35
    -5.00     0.00  -100.00     0.29     0.32     0.29    -0.28    -4.45    -4.35     4.93    -4.95     0.07     0.10     0.01     0.03   429.12   403.80
   -10.00   100.00     0.00     0.62     0.59     0.50    -0.51    -8.85    -8.93     4.88    -4.86     0.17     0.15    -0.02    -0.01   284.55   306.92
   -10.00  -100.00     0.00     0.57     0.59     0.51    -0.51    -9.01    -8.93     4.84    -4.86     0.12     0.15     0.05    -0.01   327.80   305.45
   -10.00     0.00   100.00     0.59     0.57     0.51    -0.51    -8.93    -9.01     4.86    -4.84     0.15     0.12     0.01    -0.05   305.45   327.80
   -10.00     0.00  -100.00     0.59     0.62     0.51    -0.50    -8.93    -8.85     4.86    -4.88     0.15     0.17     0.01     0.02   306.92   284.55
   -15.00   100.00     0.00     0.93     0.90     0.64    -0.65   -13.38   -13.46     4.83    -4.81     0.25     0.23    -0.02    -0.01   174.21   193.34
   -15.00  -100.00     0.00     0.87     0.90     0.65    -0.65   -13.52   -13.45     4.79    -4.81     0.20     0.23     0.05    -0.02   210.72   191.59
   -15.00     0.00   100.00     0.90     0.87     0.65    -0.65   -13.45   -13.52     4.81    -4.79     0.23     0.20     0.02    -0.05   191.59   210.72
