
  ----------------------------------------------------------------------------------------------------------------------------
  IPGKinematics  Version 3.6.11                                           Model: Querlenker                                   
  ----------------------------------------------------------------------------------------------------------------------------

   Table: Steering Kinematics                                             Demo data                                           

   WhlTra  TraRack  WhlAngL  WhlAngR  CamberL KPOffset  TrackCh Ackerman TrackDif SteerDif AckError AckPCent StRodAng TrackDia  TurnDia
     [mm]     [mm]    [deg]    [deg]    [deg]     [mm]     [mm]    [deg]    [deg]    [deg]    [deg]      [%]    [deg]      [m]      [m]

   -10.00    50.00    15.16    14.75     2.70    -4.44   -16.96    11.98     3.18     0.41     2.76    12.99    61.89    12.26    12.98
   -10.00    60.00    18.30    17.74     3.63    -4.73   -24.14    13.90     4.39     0.56     3.83    12.74    59.49    10.25    11.02
   -10.00    70.00    21.48    20.76     4.63    -5.07   -32.56    15.72     5.75     0.72     5.03    12.53    57.16     8.81     9.63
   -10.00     0.00     0.02    -0.02    -0.86    -3.41    -0.49    -0.02    -0.00    -0.05     0.05     0.00    74.77 ******** ********
   -10.00   -10.00    -2.93    -3.00    -1.37    -3.22    -1.15    -2.84    -0.15    -0.06    -0.09    40.72    77.54    60.94    61.44
   -10.00   -20.00    -5.88    -5.99    -1.81    -3.01    -3.14    -5.41    -0.58    -0.11    -0.47    18.63    80.38    30.44    30.99
   -10.00   -30.00    -8.83    -9.01    -2.19    -2.78    -6.44    -7.77    -1.25    -0.18    -1.06    14.70    83.30    20.33    20.94
   -10.00   -40.00   -11.78   -12.07    -2.50    -2.52   -11.06    -9.95    -2.12    -0.29    -1.83    13.48    86.31    15.28    15.95
   -10.00   -50.00   -14.75   -15.16    -2.75    -2.24   -16.96   -11.98    -3.18    -0.41    -2.76    12.99    89.40    12.26    12.98
   -10.00   -60.00   -17.74   -18.30    -2.94    -1.93   -24.14   -13.90    -4.39    -0.56    -3.83    12.74    92.59    10.25    11.02
   -10.00   -70.00   -20.76   -21.48    -3.06    -1.60   -32.56   -15.72    -5.75    -0.72    -5.03    12.53    95.90     8.81     9.63
   -15.00     0.00     0.03    -0.03    -0.81    -3.40    -0.80    -0.03    -0.00    -0.06     0.06     0.00    74.92 ******** ********
   -15.00    10.00     3.02     2.95    -0.23    -3.59    -1.47     2.87     0.16     0.08     0.08    49.35    72.22    60.71    61.21
   -15.00    20.00     6.04     5.91     0.41    -3.77    -3.48     5.45     0.59     0.12     0.47    20.82    69.59    30.29    30.84
   -15.00    30.00     9.08     8.88     1.12    -3.97    -6.81     7.82     1.26     0.20     1.06    15.64    67.01    20.22    20.83
   -15.00    40.00    12.15    11.85     1.90    -4.18   -11.47    10.01     2.15     0.30     1.85    13.95    64.50    15.20    15.87
   -15.00    50.00    15.26    14.84     2.76    -4.43   -17.43    12.05     3.21     0.43     2.79    13.24    62.05    12.19    12.91
   -15.00    60.00    18.42    17.84     3.69    -4.72   -24.67    13.97     4.44     0.57     3.87    12.85    59.65    10.19    10.96
   -15.00    70.00    21.62    20.89     4.70    -5.06   -33.16    15.80     5.81     0.73     5.08    12.55    57.32     8.75     9.58
   -15.00     0.00     0.03    -0.03    -0.81    -3.40    -0.80    -0.03    -0.00    -0.06     0.06     0.00    74.92 ******** ********
   -15.00   -10.00    -2.95    -3.02    -1.31    -3.20    -1.47    -2.87    -0.16    -0.08    -0.08    49.35    77.69    60.71    61.21
   -15.00   -20.00    -5.91    -6.04    -1.75    -2.99    -3.48    -5.45    -0.59    -0.12    -0.47    20.82    80.54    30.29    30.84
   -15.00   -30.00    -8.88    -9.08    -2.13    -2.76    -6.81    -7.82    -1.26    -0.20    -1.06    15.64    83.46    20.22    20.83
   -15.00   -40.00   -11.85   -12.15    -2.44    -2.50   -11.47   -10.01    -2.15    -0.30    -1.85    13.95    86.46    15.20    15.87
   -15.00   -50.00   -14.84   -15.26    -2.69    -2.22   -17.43   -12.05    -3.21    -0.43    -2.79    13.24    89.56    12.19    12.91
   -15.00   -60.00   -17.84   -18.42    -2.87    -1.91   -24.67   -13.97    -4.44    -0.57    -3.87    12.85    92.75    10.19    10.96
   -15.00   -70.00   -20.89   -21.62    -2.99    -1.58   -33.16   -15.80    -5.81    -0.73    -5.08    12.55    96.05     8.75     9.58
   -20.00     0.00     0.03    -0.03    -0.76    -3.38    -1.17     0.03     0.00     0.07    -0.07     0.00    75.08 ******** ********
   -20.00    10.00     3.05     2.96    -0.19    -3.57    -1.84     2.89     0.16     0.09     0.07    53.88    72.38    60.40    60.90
   -20.00    20.00     6.08     5.95     0.45    -3.76    -3.87     5.48     0.60     0.13     0.47    21.90    69.75    30.11    30.67
   -20.00    30.00     9.14     8.93     1.17    -3.96    -7.23     7.86     1.28     0.20     1.07    16.04    67.18    20.10    20.71
   -20.00    40.00    12.23    11.93     1.95    -4.17   -11.94    10.06     2.17     0.31     1.86    14.10    64.67    15.10    15.77
   -20.00    50.00    15.36    14.93     2.81    -4.42   -17.95    12.11     3.25     0.43     2.82    13.25    62.22    12.11    12.84
   -20.00    60.00    18.53    17.96     3.75    -4.71   -25.26    14.04     4.49     0.57     3.92    12.78    59.83    10.12    10.90
   -20.00    70.00    21.75    21.02     4.76    -5.05   -33.82    15.88     5.88     0.73     5.14    12.50    57.49     8.70     9.53
   -20.00     0.00     0.03    -0.03    -0.76    -3.38    -1.17     0.03     0.00     0.07    -0.07     0.00    75.08 ******** ********
   -20.00   -10.00    -2.96    -3.05    -1.27    -3.19    -1.84    -2.89    -0.16    -0.09    -0.07    53.88    77.85    60.40    60.90
   -20.00   -20.00    -5.95    -6.08    -1.71    -2.97    -3.87    -5.48    -0.60    -0.13    -0.47    21.90    80.69    30.11    30.67
   -20.00   -30.00    -8.93    -9.14    -2.08    -2.74    -7.23    -7.86    -1.28    -0.20    -1.07    16.04    83.61    20.10    20.71
   -20.00   -40.00   -11.93   -12.23    -2.39    -2.48   -11.94   -10.06    -2.17    -0.31    -1.86    14.10    86.62    15.10    15.77
   -20.00   -50.00   -14.93   -15.36    -2.63    -2.20   -17.95   -12.11    -3.25    -0.43    -2.82    13.25    89.71    12.11    12.84
   -20.00   -60.00   -17.96   -18.53    -2.81    -1.89   -25.26   -14.04    -4.49    -0.57    -3.92    12.78    92.91    10.12    10.90
   -20.00   -70.00   -21.02   -21.75    -2.93    -1.56   -33.82   -15.88    -5.88    -0.73    -5.14    12.50    96.20     8.70     9.53
   -25.00     0.00     0.04    -0.04    -0.73    -3.37    -1.55    -0.04    -0.00    -0.07     0.07     0.00    75.24 ******** ********
   -25.00    10.00     3.07     2.98    -0.15    -3.56    -2.23     2.91     0.16     0.09     0.07    56.02    72.55    60.06    60.57
   -25.00    20.00     6.12     5.98     0.49    -3.75    -4.24     5.52     0.60     0.14     0.46    23.30    69.92    29.96    30.52
   -25.00    30.00     9.20     8.98     1.20    -3.95    -7.61     7.91     1.29     0.22     1.07    17.29    67.35    20.00    20.62
   -25.00    40.00    12.31    11.97     1.99    -4.16   -12.32    10.11     2.20     0.34     1.86    15.30    64.84    15.04    15.71
   -25.00    50.00    15.46    14.99     2.86    -4.41   -18.35    12.17     3.29     0.47     2.81    14.44    62.39    12.07    12.80
   -25.00    60.00    18.65    18.02     3.80    -4.70   -25.68    14.11     4.54     0.63     3.91    13.96    60.00    10.09    10.87
   -25.00    70.00    21.89    21.08     4.82    -5.04   -34.26    15.95     5.94     0.81     5.13    13.60    57.67     8.68     9.51
   -25.00     0.00     0.04    -0.04    -0.73    -3.37    -1.55     0.04     0.00     0.07    -0.07     0.00    75.24 ******** ********
   -25.00   -10.00    -2.98    -3.07    -1.24    -3.17    -2.23    -2.91    -0.16    -0.09    -0.07    56.02    78.00    60.06    60.57
   -25.00   -20.00    -5.98    -6.12    -1.68    -2.96    -4.24    -5.52    -0.60    -0.14    -0.46    23.30    80.82    29.96    30.52
   -25.00   -30.00    -8.98    -9.20    -2.05    -2.73    -7.61    -7.91    -1.29    -0.22    -1.07    17.29    83.73    20.00    20.62
   -25.00   -40.00   -11.97   -12.31    -2.36    -2.47   -12.32   -10.11    -2.20    -0.34    -1.86    15.30    86.72    15.04    15.71
   -25.00   -50.00   -14.99   -15.46    -2.61    -2.19   -18.35   -12.17    -3.29    -0.47    -2.81    14.44    89.80    12.07    12.80
   -25.00   -60.00   -18.02   -18.65    -2.79    -1.88   -25.68   -14.11    -4.54    -0.63    -3.91    13.96    92.98    10.09    10.87
   -25.00   -70.00   -21.08   -21.89    -2.90    -1.54   -34.26   -15.95    -5.94    -0.81    -5.13    13.60    96.28     8.68     9.51
   -30.00     0.00     0.04    -0.04    -0.73    -3.37    -1.55     0.04     0.00     0.07    -0.07     0.00    75.24 ******** ********
   -30.00    10.00     3.07     2.98    -0.15    -3.56    -2.23     2.91     0.16     0.09     0.07    56.21    72.55    60.06    60.56
   -30.00    20.00     6.12     5.98     0.49    -3.75    -4.28     5.52     0.60     0.14     0.46    23.74    69.94    29.95    30.51
   -30.00    30.00     9.21     8.98     1.21    -3.94    -7.68     7.92     1.30     0.23     1.07    17.85    67.38    19.99    20.61
   -30.00    40.00    12.34    11.99     2.00    -4.16   -12.43    10.13     2.20     0.35     1.85    15.95    64.89    15.03    15.70
   -30.00    50.00    15.50    15.00     2.87    -4.40   -18.51    12.20     3.30     0.50     2.80    15.16    62.47    12.06    12.78
   -30.00    60.00    18.72    18.05     3.82    -4.69   -25.91    14.15     4.57     0.67     3.89    14.75    60.10    10.07    10.86
   -30.00    70.00    21.99    21.13     4.85    -5.03   -34.58    16.01     5.98     0.86     5.12    14.45    57.80     8.66     9.49
   -30.00     0.00     0.04    -0.04    -0.73    -3.37    -1.55     0.04     0.00     0.07    -0.07     0.00    75.24 ******** ********
   -30.00   -10.00    -2.98    -3.07    -1.24    -3.17    -2.23    -2.91    -0.16    -0.09    -0.07    56.21    78.00    60.06    60.56
   -30.00   -20.00    -5.98    -6.12    -1.68    -2.96    -4.28    -5.52    -0.60    -0.14    -0.46    23.74    80.83    29.95    30.51
   -30.00   -30.00    -8.98    -9.21    -2.05    -2.73    -7.68    -7.92    -1.30    -0.23    -1.07    17.85    83.74    19.99    20.61
   -30.00   -40.00   -11.99   -12.34    -2.36    -2.47   -12.43   -10.13    -2.20    -0.35    -1.85    15.95    86.74    15.03    15.70
   -30.00   -50.00   -15.00   -15.50    -2.60    -2.18   -18.51   -12.20    -3.30    -0.50    -2.80    15.16    89.83    12.06    12.78
   -30.00   -60.00   -18.05   -18.72    -2.78    -1.87   -25.91   -14.15    -4.57    -0.67    -3.89    14.75    93.02    10.07    10.86
   -30.00   -70.00   -21.13   -21.99    -2.89    -1.54   -34.58   -16.01    -5.98    -0.86    -5.12    14.45    96.32     8.66     9.49
   -35.00     0.00     0.04    -0.04    -0.73    -3.37    -1.55     0.04     0.00     0.07    -0.07     0.00    75.24 ******** ********
   -35.00    10.00     3.07     2.98    -0.15    -3.56    -2.23     2.91     0.16     0.09     0.07    56.21    72.55    60.06    60.56
   -35.00    20.00     6.12     5.98     0.49    -3.75    -4.28     5.52     0.60     0.14     0.46    23.74    69.94    29.95    30.51
   -35.00    30.00     9.21     8.98     1.21    -3.94    -7.68     7.92     1.30     0.23     1.07    17.85    67.38    19.99    20.61
   -35.00    40.00    12.34    11.99     2.00    -4.16   -12.43    10.13     2.20     0.35     1.85    15.95    64.89    15.03    15.70
   -35.00    50.00    15.50    15.00     2.87    -4.40   -18.51    12.20     3.30     0.50     2.80    15.16    62.47    12.06    12.78
   -35.00    60.00    18.72    18.05     3.82    -4.69   -25.91    14.15     4.57     0.67     3.89    14.75    60.10    10.07    10.86
   -35.00    70.00    21.99    21.13     4.85    -5.03   -34.58    16.01     5.98     0.86     5.12    14.45    57.80     8.66     9.49
   -35.00     0.00     0.04    -0.04    -0.73    -3.37    -1.55     0.04     0.00     0.07    -0.07     0.00    75.24 ******** ********
   -35.00   -10.00    -2.98    -3.07    -1.24    -3.17    -2.23    -2.91    -0.16    -0.09    -0.07    56.21    78.00    60.06    60.56
   -35.00   -20.00    -5.98    -6.12    -1.68    -2.96    -4.28    -5.52    -0.60    -0.14    -0.46    23.74    80.83    29.95    30.51
   -35.00   -30.00    -8.98    -9.21    -2.05    -2.73    -7.68    -7.92    -1.30    -0.23    -1.07    17.85    83.74    19.99    20.61
   -35.00   -40.00   -11.99   -12.34    -2.36    -2.47   -12.43   -10.13    -2.20    -0.35    -1.85    15.95    86.74    15.03    15.70
   -35.00   -50.00   -15.00   -15.50    -2.60    -2.18   -18.51   -12.20    -3.30    -0.50    -2.80    15.16    89.83    12.06    12.78
   -35.00   -60.00   -18.05   -18.72    -2.78    -1.87   -25.91   -14.15    -4.57    -0.67    -3.89    14.75    93.02    10.07    10.86
   -35.00   -70.00   -21.13   -21.99    -2.89    -1.54   -34.58   -16.01    -5.98    -0.86    -5.12    14.45    96.32     8.66     9.49
   -40.00     0.00     0.04    -0.04    -0.73    -3.37    -1.55     0.04     0.00     0.07    -0.07     0.00    75.24 ******** ********
   -40.00    10.00     3.07     2.98    -0.15    -3.56    -2.23     2.91     0.16     0.09     0.07    56.21    72.55    60.06    60.56
   -40.00    20.00     6.12     5.98     0.49    -3.75    -4.28     5.52     0.60     0.14     0.46    23.74    69.94    29.95    30.51
   -40.00    30.00     9.21     8.98     1.21    -3.94    -7.68     7.92     1.30     0.23     1.07    17.85    67.38    19.99    20.61
   -40.00    40.00    12.34    11.99     2.00    -4.16   -12.43    10.13     2.20     0.35     1.85    15.95    64.89    15.03    15.70
   -40.00    50.00    15.50    15.00     2.87    -4.40   -18.51    12.20     3.30     0.50     2.80    15.16    62.47    12.06    12.78
   -40.00    60.00    18.72    18.05     3.82    -4.69   -25.91    14.15     4.57     0.67     3.89    14.75    60.10    10.07    10.86
   -40.00    70.00    21.99    21.13     4.85    -5.03   -34.58    16.01     5.98     0.86     5.12    14.45    57.80     8.66     9.49
   -40.00     0.00     0.04    -0.04    -0.73    -3.37    -1.55     0.04     0.00     0.07    -0.07     0.00    75.24 ******** ********
   -40.00   -10.00    -2.98    -3.07    -1.24    -3.17    -2.23    -2.91    -0.16    -0.09    -0.07    56.21    78.00    60.06    60.56
   -40.00   -20.00    -5.98    -6.12    -1.68    -2.96    -4.28    -5.52    -0.60    -0.14    -0.46    23.74    80.83    29.95    30.51
   -40.00   -30.00    -8.98    -9.21    -2.05    -2.73    -7.68    -7.92    -1.30    -0.23    -1.07    17.85    83.74    19.99    20.61
   -40.00   -40.00   -11.99   -12.34    -2.36    -2.47   -12.43   -10.13    -2.20    -0.35    -1.85    15.95    86.74    15.03    15.70
   -40.00   -50.00   -15.00   -15.50    -2.60    -2.18   -18.51   -12.20    -3.30    -0.50    -2.80    15.16    89.83    12.06    12.78
   -40.00   -60.00   -18.05   -18.72    -2.78    -1.87   -25.91   -14.15    -4.57    -0.67    -3.89    14.75    93.02    10.07    10.86
   -40.00   -70.00   -21.13   -21.99    -2.89    -1.54   -34.58   -16.01    -5.98    -0.86    -5.12    14.45    96.32     8.66     9.49
