
  ----------------------------------------------------------------------------------------------------------------------------
  IPGKinematics  Version 3.6.11                                           Model: Querlenker                                   
  ----------------------------------------------------------------------------------------------------------------------------

   Table: Steering Kinematics                                             Demo data                                           

   WhlTra  TraRack  WhlAngL  WhlAngR  CamberL KPOffset  TrackCh Ackerman TrackDif SteerDif AckError AckPCent StRodAng TrackDia  TurnDia
     [mm]     [mm]    [deg]    [deg]    [deg]     [mm]     [mm]    [deg]    [deg]    [deg]    [deg]      [%]    [deg]      [m]      [m]

    10.00   -40.00   -11.56   -11.73    -2.84    -2.59    -9.92    -9.71    -2.01    -0.16    -1.85     8.19    85.74    15.57    16.23
    10.00   -50.00   -14.45   -14.75    -3.10    -2.31   -15.65   -11.72    -3.03    -0.29    -2.74     9.61    88.83    12.50    13.22
    10.00   -60.00   -17.37   -17.81    -3.30    -2.00   -22.61   -13.61    -4.20    -0.44    -3.76    10.44    92.01    10.46    11.22
    10.00   -70.00   -20.31   -20.91    -3.44    -1.66   -30.79   -15.41    -5.50    -0.60    -4.90    10.93    95.30     8.99     9.81
    15.00     0.00    -0.06     0.06    -1.28    -3.48     0.41    -0.06     0.00    -0.11     0.11 ********    74.10 ******** ********
    15.00    10.00     2.83     2.93    -0.71    -3.67    -0.23     2.69     0.14    -0.10     0.24   -71.60    71.40    61.06    61.56
    15.00    20.00     5.74     5.79    -0.07    -3.85    -2.14     5.20     0.54    -0.05     0.59   -10.06    68.77    30.92    31.47
    15.00    30.00     8.67     8.65     0.63    -4.04    -5.32     7.51     1.16     0.02     1.14     1.65    66.20    20.74    21.35
    15.00    40.00    11.64    11.52     1.40    -4.25    -9.76     9.65     1.99     0.12     1.87     6.00    63.69    15.63    16.29
    15.00    50.00    14.64    14.39     2.24    -4.49   -15.45    11.65     2.99     0.24     2.74     8.16    61.24    12.56    13.27
    15.00    60.00    17.68    17.29     3.16    -4.78   -22.37    13.53     4.14     0.39     3.75     9.41    58.85    10.50    11.27
    15.00    70.00    20.77    20.21     4.15    -5.12   -30.49    15.33     5.44     0.55     4.89    10.15    56.52     9.03     9.85
    15.00     0.00    -0.06     0.06    -1.28    -3.48     0.41    -0.06     0.00    -0.11     0.11 ********    74.10 ******** ********
    15.00   -10.00    -2.93    -2.83    -1.78    -3.29    -0.23    -2.69    -0.14     0.10    -0.24   -71.60    76.86    61.06    61.56
    15.00   -20.00    -5.79    -5.74    -2.23    -3.08    -2.14    -5.20    -0.54     0.05    -0.59   -10.06    79.70    30.92    31.47
    15.00   -30.00    -8.65    -8.67    -2.61    -2.86    -5.32    -7.51    -1.16    -0.02    -1.14     1.65    82.61    20.74    21.35
    15.00   -40.00   -11.52   -11.64    -2.94    -2.60    -9.76    -9.65    -1.99    -0.12    -1.87     6.00    85.61    15.63    16.29
    15.00   -50.00   -14.39   -14.64    -3.20    -2.32   -15.45   -11.65    -2.99    -0.24    -2.74     8.16    88.69    12.56    13.27
    15.00   -60.00   -17.29   -17.68    -3.41    -2.01   -22.37   -13.53    -4.14    -0.39    -3.75     9.41    91.87    10.50    11.27
    15.00   -70.00   -20.21   -20.77    -3.55    -1.67   -30.49   -15.33    -5.44    -0.55    -4.89    10.15    95.16     9.03     9.85
    20.00     0.00    -0.08     0.08    -1.39    -3.50     0.46     0.08    -0.00     0.16    -0.16 ********    73.98 ******** ********
    20.00    10.00     2.79     2.94    -0.82    -3.68    -0.17     2.66     0.13    -0.15     0.28  -110.05    71.29    60.89    61.39
    20.00    20.00     5.68     5.78    -0.18    -3.86    -2.07     5.16     0.53    -0.10     0.63   -19.61    68.66    30.96    31.51
    20.00    30.00     8.60     8.63     0.52    -4.05    -5.22     7.46     1.14    -0.03     1.17    -2.72    66.09    20.80    21.41
    20.00    40.00    11.55    11.48     1.29    -4.26    -9.64     9.59     1.96     0.07     1.89     3.46    63.59    15.68    16.34
    20.00    50.00    14.53    14.34     2.13    -4.50   -15.29    11.58     2.95     0.19     2.76     6.47    61.14    12.60    13.32
