
  ----------------------------------------------------------------------------------------------------------------------------
  IPGKinematics  Version 3.6.11                                           Model: Querlenker                                   
  ----------------------------------------------------------------------------------------------------------------------------

   Table: Compliance - Force X at Wheel Center                            Demo data                                           

   WhTra  ForceX_L ForceX_R   TraX_L   TraX_R   TraY_L   TraY_R   TraZ_L   TraZ_R   RotX_L   RotX_R   RotY_L   RotY_R   RotZ_L   RotZ_R WhlLoadL WhlLoadR
     [mm]      [N]      [N]     [mm]     [mm]     [mm]     [mm]     [mm]     [mm]    [deg]    [deg]    [deg]    [deg]    [deg]    [deg]      [N]      [N]

    -5.00  1000.00     0.00     0.81     0.29     0.19    -0.29    -4.68    -4.46     0.94    -0.93     0.11     0.07    -0.14    -0.01   490.62   436.77
    -5.00 -1000.00     0.00    -0.23     0.29     0.39    -0.29    -4.21    -4.43     0.91    -0.93     0.04     0.07     0.16    -0.01   377.77   431.26
    -5.00     0.00  1000.00     0.29     0.81     0.29    -0.19    -4.46    -4.68     0.93    -0.94     0.07     0.11     0.01     0.14   436.77   490.62
    -5.00     0.00 -1000.00     0.29    -0.23     0.29    -0.39    -4.43    -4.21     0.93    -0.91     0.07     0.04     0.01    -0.16   431.26   377.77
   -10.00  1000.00     0.00     1.12     0.59     0.40    -0.51    -9.17    -8.94     0.88    -0.86     0.18     0.15    -0.13    -0.02   370.00   314.19
   -10.00 -1000.00     0.00     0.07     0.59     0.61    -0.51    -8.69    -8.92     0.85    -0.86     0.11     0.15     0.17    -0.02   253.65   309.06
   -10.00     0.00  1000.00     0.59     1.12     0.51    -0.40    -8.94    -9.17     0.86    -0.88     0.15     0.18     0.02     0.13   314.19   370.00
   -10.00     0.00 -1000.00     0.59     0.07     0.51    -0.61    -8.92    -8.69     0.86    -0.85     0.15     0.11     0.02    -0.17   309.06   253.65
   -15.00  1000.00     0.00     1.43     0.90     0.54    -0.65   -13.70   -13.46     0.82    -0.81     0.26     0.23    -0.12    -0.03   258.16   200.23
   -15.00 -1000.00     0.00     0.37     0.90     0.75    -0.65   -13.21   -13.44     0.79    -0.81     0.19     0.23     0.18    -0.03   138.13   195.59
   -15.00     0.00  1000.00     0.90     1.43     0.65    -0.54   -13.46   -13.70     0.81    -0.82     0.23     0.26     0.03     0.12   200.23   258.16
   -15.00     0.00 -1000.00     0.90     0.37     0.65    -0.75   -13.44   -13.21     0.81    -0.79     0.23     0.19     0.03    -0.18   195.59   138.13
   -20.00  1000.00     0.00     1.74     1.22     0.59    -0.71   -18.27   -18.02     0.78    -0.76     0.35     0.31    -0.12    -0.03   154.73    94.56
   -20.00 -1000.00     0.00     0.69     1.22     0.82    -0.71   -17.76   -18.01     0.74    -0.76     0.27     0.31     0.19    -0.04    30.87    90.51
   -20.00     0.00  1000.00     1.22     1.74     0.71    -0.59   -18.02   -18.27     0.76    -0.78     0.31     0.35     0.03     0.12    94.56   154.73
   -20.00     0.00 -1000.00     1.22     0.69     0.71    -0.82   -18.01   -17.76     0.76    -0.74     0.31     0.27     0.04    -0.19    90.51    30.87
