
  ----------------------------------------------------------------------------------------------------------------------------
  IPGKinematics  Version 3.6.11                                           Model: Querlenker                                   
  ----------------------------------------------------------------------------------------------------------------------------

   Table: Compliance - Force X at Wheel Center                            Demo data                                           

   WhTra  ForceX_L ForceX_R   TraX_L   TraX_R   TraY_L   TraY_R   TraZ_L   TraZ_R   RotX_L   RotX_R   RotY_L   RotY_R   RotZ_L   RotZ_R WhlLoadL WhlLoadR
     [mm]      [N]      [N]     [mm]     [mm]     [mm]     [mm]     [mm]     [mm]    [deg]    [deg]    [deg]    [deg]    [deg]    [deg]      [N]      [N]

    -5.00  1000.00     0.00     0.81     0.29     0.19    -0.29    -4.68    -4.46     4.94    -4.93     0.11     0.07    -0.14    -0.01   485.21   431.36
    -5.00 -1000.00     0.00    -0.23     0.29     0.39    -0.29    -4.21    -4.43     4.91    -4.93     0.04     0.07     0.16    -0.01   372.36   425.85
    -5.00     0.00  1000.00     0.29     0.81     0.29    -0.19    -4.46    -4.68     4.93    -4.94     0.07     0.11     0.01     0.14   431.36   485.21
    -5.00     0.00 -1000.00     0.29    -0.23     0.29    -0.39    -4.43    -4.21     4.93    -4.91     0.07     0.04     0.01    -0.16   425.85   372.36
   -10.00  1000.00     0.00     1.12     0.59     0.40    -0.51    -9.17    -8.94     4.88    -4.86     0.19     0.15    -0.14    -0.01   364.58   308.76
   -10.00 -1000.00     0.00     0.07     0.59     0.61    -0.51    -8.69    -8.92     4.85    -4.86     0.11     0.15     0.17    -0.01   248.22   303.64
   -10.00     0.00  1000.00     0.59     1.12     0.51    -0.40    -8.94    -9.17     4.86    -4.88     0.15     0.19     0.01     0.14   308.76   364.58
   -10.00     0.00 -1000.00     0.59     0.07     0.51    -0.61    -8.92    -8.69     4.86    -4.85     0.15     0.11     0.01    -0.17   303.64   248.22
   -15.00  1000.00     0.00     1.43     0.90     0.54    -0.65   -13.70   -13.46     4.82    -4.81     0.27     0.23    -0.14    -0.01   252.72   194.79
   -15.00 -1000.00     0.00     0.37     0.90     0.75    -0.65   -13.21   -13.44     4.79    -4.81     0.19     0.23     0.17    -0.02   132.69   190.15
   -15.00     0.00  1000.00     0.90     1.43     0.65    -0.54   -13.46   -13.70     4.81    -4.82     0.23     0.27     0.01     0.14   194.79   252.72
   -15.00     0.00 -1000.00     0.90     0.37     0.65    -0.75   -13.44   -13.21     4.81    -4.79     0.23     0.19     0.02    -0.17   190.15   132.69
   -20.00  1000.00     0.00     1.74     1.22     0.59    -0.71   -18.27   -18.02     4.78    -4.76     0.35     0.31    -0.14    -0.01   149.28    89.11
   -20.00 -1000.00     0.00     0.69     1.22     0.82    -0.71   -17.76   -18.01     4.74    -4.76     0.27     0.31     0.17    -0.01    25.42    85.06
   -20.00     0.00  1000.00     1.22     1.74     0.71    -0.59   -18.02   -18.27     4.76    -4.78     0.31     0.35     0.01     0.14    89.11   149.28
   -20.00     0.00 -1000.00     1.22     0.69     0.71    -0.82   -18.01   -17.76     4.76    -4.74     0.31     0.27     0.01    -0.17    85.06    25.42
   -25.00  1000.00     0.00     2.07     1.52     0.57    -0.69   -22.87   -22.34     4.74    -4.73     0.43     0.39    -0.15    -0.01    50.97     0.00
   -25.00 -1000.00     0.00     0.82     1.44     0.83    -0.70   -19.68   -21.20     4.73    -4.73     0.30     0.36     0.17    -0.01     0.00     0.00
   -25.00     0.00  1000.00     1.52     2.07     0.69    -0.57   -22.34   -22.87     4.73    -4.74     0.39     0.43     0.01     0.15     0.00    50.97
   -25.00     0.00 -1000.00     1.44     0.82     0.70    -0.83   -21.20   -19.68     4.73    -4.73     0.36     0.30     0.01    -0.17     0.00     0.00
   -30.00  1000.00     0.00     2.21     1.57     0.53    -0.68   -24.82   -23.02     4.73    -4.73     0.47     0.40    -0.15    -0.01     0.00     0.00
   -30.00 -1000.00     0.00     0.82     1.44     0.83    -0.70   -19.68   -21.20     4.73    -4.73     0.30     0.36     0.17    -0.01     0.00     0.00
   -30.00     0.00  1000.00     1.57     2.21     0.68    -0.53   -23.02   -24.82     4.73    -4.73     0.40     0.47     0.01     0.15     0.00     0.00
   -30.00     0.00 -1000.00     1.44     0.82     0.70    -0.83   -21.20   -19.68     4.73    -4.73     0.36     0.30     0.01    -0.17     0.00     0.00
   -35.00  1000.00     0.00     2.21     1.57     0.53    -0.68   -24.82   -23.02     4.73    -4.73     0.47     0.40    -0.15    -0.01     0.00     0.00
   -35.00 -1000.00     0.00     0.82     1.44     0.83    -0.70   -19.68   -21.20     4.73    -4.73     0.30     0.36     0.17    -0.01     0.00     0.00
   -35.00     0.00  1000.00     1.57     2.21     0.68    -0.53   -23.02   -24.82     4.73    -4.73     0.40     0.47     0.01     0.15     0.00     0.00
   -35.00     0.00 -1000.00     1.44     0.82     0.70    -0.83   -21.20   -19.68     4.73    -4.73     0.36     0.30     0.01    -0.17     0.00     0.00
   -40.00  1000.00     0.00     2.21     1.57     0.53    -0.68   -24.82   -23.02     4.73    -4.73     0.47     0.40    -0.15    -0.01     0.00     0.00
   -40.00 -1000.00     0.00     0.82     1.44     0.83    -0.70   -19.68   -21.20     4.73    -4.73     0.30     0.36     0.17    -0.01     0.00     0.00
   -40.00     0.00  1000.00     1.57     2.21     0.68    -0.53   -23.02   -24.82     4.73    -4.73     0.40     0.47     0.01     0.15     0.00     0.00
   -40.00     0.00 -1000.00     1.44     0.82     0.70    -0.83   -21.20   -19.68     4.73    -4.73     0.36     0.30     0.01    -0.17     0.00     0.00
