
  ----------------------------------------------------------------------------------------------------------------------------
  IPGKinematics  Version 3.6.11                                           Model: Querlenker                                   
  ----------------------------------------------------------------------------------------------------------------------------

   Table: Reciprocal Kinematics                                           Demo data                                           

  WhlTraL  WhlTraR    RCLat   RCVert   RCHeig     ToeL     ToeR  CamberL  CamberR  TotRoll  TransZL  TransZR WhlLoadL WhlLoadR
     [mm]     [mm]     [mm]     [mm]     [mm]    [min]    [min]    [deg]    [deg]    [deg]     [mm]     [mm]      [N]      [N]
    -5.00   -40.00   -12.22     5.89    15.57     0.45    -1.79    -4.93    -4.79     0.32    -5.22   -14.02   618.80     0.00
   -10.00     0.00    19.81     5.61    10.15    -1.66     0.89    -4.86    -5.00    -0.27    -8.24    -0.77   136.98   748.50
   -10.00     5.00    40.33     5.27     7.63    -2.13     2.03    -4.85    -5.08    -0.40    -7.86     3.17    45.62  1003.00
   -10.00    10.00    84.23     4.62     4.19    -2.44     3.24    -4.87    -5.17    -0.48    -6.30     7.13     0.00  1251.05
   -10.00    15.00   365.83     1.48    -2.34    -2.54     4.49    -4.91    -5.27    -0.53    -3.58    11.14     0.00  1488.42
   -10.00    20.00  -245.62     7.60     0.40    -2.59     5.90    -4.95    -5.37    -0.58    -0.84    15.09     0.00  1738.52
   -10.00    25.00  -105.91     5.91    -4.65    -2.57     7.45    -4.99    -5.48    -0.62     1.93    18.99     0.00  2001.12
   -10.00    30.00   -71.95     5.31    -8.60    -2.48     9.14    -5.04    -5.60    -0.66     4.70    22.83     0.00  2276.05
   -10.00    35.00   -56.30     4.90   -12.32    -2.32    10.95    -5.09    -5.72    -0.70     7.46    26.63     0.00  2563.19
   -10.00    40.00   -47.06     4.56   -15.96    -2.11    12.89    -5.14    -5.85    -0.73    10.22    30.37     0.00  2862.41
   -10.00     0.00    19.81     5.61    10.15    -1.66     0.89    -4.86    -5.00    -0.27    -8.24    -0.77   136.98   748.50
   -10.00    -5.00     7.56     5.83    12.57    -1.22    -0.06    -4.86    -4.93    -0.14    -8.59    -4.80   223.97   515.83
   -10.00   -10.00    -0.00     5.96    14.95    -0.79    -0.79    -4.86    -4.86    -0.00    -8.93    -8.93   306.19   306.19
   -10.00   -15.00    -4.51     6.04    17.31    -0.39    -1.29    -4.86    -4.80     0.14    -9.25   -13.16   383.17   120.85
   -10.00   -20.00    -6.39     6.08    19.06    -0.11    -1.49    -4.86    -4.77     0.25    -9.46   -16.36   436.45     0.00
   -10.00   -25.00    -6.39     6.08    19.06    -0.11    -1.49    -4.86    -4.77     0.25    -9.46   -16.36   436.45     0.00
   -10.00   -30.00    -6.39     6.08    19.06    -0.11    -1.49    -4.86    -4.77     0.25    -9.46   -16.36   436.45     0.00
   -10.00   -35.00    -6.39     6.08    19.06    -0.11    -1.49    -4.86    -4.77     0.25    -9.46   -16.36   436.45     0.00
   -10.00   -40.00    -6.39     6.08    19.06    -0.11    -1.49    -4.86    -4.77     0.25    -9.46   -16.36   436.45     0.00
   -15.00     0.00    21.91     5.64    11.97    -2.05     1.21    -4.81    -5.00    -0.38   -11.54    -1.04     0.00   815.78
   -15.00     5.00    39.96     5.27     8.23    -2.27     2.14    -4.84    -5.08    -0.43    -8.95     3.07     0.00  1026.71
   -15.00    10.00    84.23     4.62     4.19    -2.44     3.24    -4.87    -5.17    -0.48    -6.30     7.13     0.00  1251.05
   -15.00    15.00   365.83     1.48    -2.34    -2.54     4.49    -4.91    -5.27    -0.53    -3.58    11.14     0.00  1488.42
   -15.00    20.00  -245.62     7.60     0.40    -2.59     5.90    -4.95    -5.37    -0.58    -0.84    15.09     0.00  1738.52
   -15.00    25.00  -105.91     5.91    -4.65    -2.57     7.45    -4.99    -5.48    -0.62     1.93    18.99     0.00  2001.12
   -15.00    30.00   -71.95     5.31    -8.60    -2.48     9.14    -5.04    -5.60    -0.66     4.70    22.83     0.00  2276.05
   -15.00    35.00   -56.30     4.90   -12.32    -2.32    10.95    -5.09    -5.72    -0.70     7.46    26.63     0.00  2563.19
   -15.00    40.00   -47.06     4.56   -15.96    -2.11    12.89    -5.14    -5.85    -0.73    10.22    30.37     0.00  2862.41
   -15.00     0.00    21.91     5.64    11.97    -2.05     1.21    -4.81    -5.00    -0.38   -11.54    -1.04     0.00   815.78
   -15.00    -5.00    11.58     5.88    14.93    -1.70     0.35    -4.80    -4.93    -0.28   -12.85    -5.14    44.20   597.66
   -15.00   -10.00     4.51     6.04    17.31    -1.29    -0.39    -4.80    -4.86    -0.14   -13.16    -9.25   120.85   383.17
   -15.00   -15.00    -0.00     6.15    19.68    -0.90    -0.90    -4.81    -4.81    -0.00   -13.45   -13.45   192.46   192.46
   -15.00   -20.00    -2.53     6.20    22.03    -0.54    -1.15    -4.81    -4.76     0.15   -13.72   -17.77   258.50    26.70
   -15.00   -25.00    -2.80     6.21    22.45    -0.48    -1.17    -4.81    -4.75     0.17   -13.77   -18.54   269.58     0.00
   -15.00   -30.00    -2.80     6.21    22.45    -0.48    -1.17    -4.81    -4.75     0.17   -13.77   -18.54   269.58     0.00
   -15.00   -35.00    -2.80     6.21    22.45    -0.48    -1.17    -4.81    -4.75     0.17   -13.77   -18.54   269.58     0.00
   -15.00   -40.00    -2.80     6.21    22.45    -0.48    -1.17    -4.81    -4.75     0.17   -13.77   -18.54   269.58     0.00
   -20.00     0.00    21.91     5.64    11.97    -2.05     1.21    -4.81    -5.00    -0.38   -11.54    -1.04     0.00   815.78
   -20.00     5.00    39.96     5.27     8.23    -2.27     2.14    -4.84    -5.08    -0.43    -8.95     3.07     0.00  1026.71
   -20.00    10.00    84.23     4.62     4.19    -2.44     3.24    -4.87    -5.17    -0.48    -6.30     7.13     0.00  1251.05
   -20.00    15.00   365.83     1.48    -2.34    -2.54     4.49    -4.91    -5.27    -0.53    -3.58    11.14     0.00  1488.42
   -20.00    20.00  -245.62     7.60     0.40    -2.59     5.90    -4.95    -5.37    -0.58    -0.84    15.09     0.00  1738.52
   -20.00    25.00  -105.91     5.91    -4.65    -2.57     7.45    -4.99    -5.48    -0.62     1.93    18.99     0.00  2001.12
   -20.00    30.00   -71.95     5.31    -8.60    -2.48     9.14    -5.04    -5.60    -0.66     4.70    22.83     0.00  2276.05
   -20.00    35.00   -56.30     4.90   -12.32    -2.32    10.95    -5.09    -5.72    -0.70     7.46    26.63     0.00  2563.19
   -20.00    40.00   -47.06     4.56   -15.96    -2.11    12.89    -5.14    -5.85    -0.73    10.22    30.37     0.00  2862.41
   -20.00     0.00    21.91     5.64    11.97    -2.05     1.21    -4.81    -5.00    -0.38   -11.54    -1.04     0.00   815.78
   -20.00    -5.00    12.22     5.89    15.57    -1.79     0.45    -4.79    -4.93    -0.32   -14.02    -5.22     0.00   618.80
   -20.00   -10.00     6.39     6.08    19.06    -1.49    -0.11    -4.77    -4.86    -0.25   -16.36    -9.46     0.00   436.45
   -20.00   -15.00     2.53     6.20    22.03    -1.15    -0.54    -4.76    -4.81    -0.15   -17.77   -13.72    26.70   258.50
   -20.00   -20.00    -0.00     6.27    24.37    -0.81    -0.81    -4.76    -4.76     0.00   -18.01   -18.01    87.08    87.08
   -20.00   -25.00    -0.75     6.29    25.72    -0.62    -0.84    -4.76    -4.74     0.09   -18.15   -20.53   119.15     0.00
   -20.00   -30.00    -0.75     6.29    25.72    -0.62    -0.84    -4.76    -4.74     0.09   -18.15   -20.53   119.15     0.00
   -20.00   -35.00    -0.75     6.29    25.72    -0.62    -0.84    -4.76    -4.74     0.09   -18.15   -20.53   119.15     0.00
   -20.00   -40.00    -0.75     6.29    25.72    -0.62    -0.84    -4.76    -4.74     0.09   -18.15   -20.53   119.15     0.00
   -25.00     0.00    21.91     5.64    11.97    -2.05     1.21    -4.81    -5.00    -0.38   -11.54    -1.04     0.00   815.78
   -25.00     5.00    39.96     5.27     8.23    -2.27     2.14    -4.84    -5.08    -0.43    -8.95     3.07     0.00  1026.71
   -25.00    10.00    84.23     4.62     4.19    -2.44     3.24    -4.87    -5.17    -0.48    -6.30     7.13     0.00  1251.05
   -25.00    15.00   365.83     1.48    -2.34    -2.54     4.49    -4.91    -5.27    -0.53    -3.58    11.14     0.00  1488.42
   -25.00    20.00  -245.62     7.60     0.40    -2.59     5.90    -4.95    -5.37    -0.58    -0.84    15.09     0.00  1738.52
   -25.00    25.00  -105.91     5.91    -4.65    -2.57     7.45    -4.99    -5.48    -0.62     1.93    18.99     0.00  2001.12
   -25.00    30.00   -71.95     5.31    -8.60    -2.48     9.14    -5.04    -5.60    -0.66     4.70    22.83     0.00  2276.05
   -25.00    35.00   -56.30     4.90   -12.32    -2.32    10.95    -5.09    -5.72    -0.70     7.46    26.63     0.00  2563.19
   -25.00    40.00   -47.06     4.56   -15.96    -2.11    12.89    -5.14    -5.85    -0.73    10.22    30.37     0.00  2862.41
   -25.00     0.00    21.91     5.64    11.97    -2.05     1.21    -4.81    -5.00    -0.38   -11.54    -1.04     0.00   815.78
   -25.00    -5.00    12.22     5.89    15.57    -1.79     0.45    -4.79    -4.93    -0.32   -14.02    -5.22     0.00   618.80
   -25.00   -10.00     6.39     6.08    19.06    -1.49    -0.11    -4.77    -4.86    -0.25   -16.36    -9.46     0.00   436.45
   -25.00   -15.00     2.80     6.21    22.45    -1.17    -0.48    -4.75    -4.81    -0.17   -18.54   -13.77     0.00   269.58
   -25.00   -20.00     0.75     6.29    25.72    -0.84    -0.62    -4.74    -4.76    -0.09   -20.53   -18.15     0.00   119.15
   -25.00   -25.00    -0.00     6.31    28.51    -0.56    -0.56    -4.73    -4.73    -0.00   -22.10   -22.10     0.00     0.00
   -25.00   -30.00     0.00     6.31    28.51    -0.56    -0.56    -4.73    -4.73    -0.00   -22.10   -22.10     0.00     0.00
   -25.00   -35.00     0.00     6.31    28.51    -0.56    -0.56    -4.73    -4.73    -0.00   -22.10   -22.10     0.00     0.00
   -25.00   -40.00     0.00     6.31    28.51    -0.56    -0.56    -4.73    -4.73    -0.00   -22.10   -22.10     0.00     0.00
   -30.00     0.00    21.91     5.64    11.97    -2.05     1.21    -4.81    -5.00    -0.38   -11.54    -1.04     0.00   815.78
   -30.00     5.00    39.96     5.27     8.23    -2.27     2.14    -4.84    -5.08    -0.43    -8.95     3.07     0.00  1026.71
   -30.00    10.00    84.23     4.62     4.19    -2.44     3.24    -4.87    -5.17    -0.48    -6.30     7.13     0.00  1251.05
   -30.00    15.00   365.83     1.48    -2.34    -2.54     4.49    -4.91    -5.27    -0.53    -3.58    11.14     0.00  1488.42
   -30.00    20.00  -245.62     7.60     0.40    -2.59     5.90    -4.95    -5.37    -0.58    -0.84    15.09     0.00  1738.52
   -30.00    25.00  -105.91     5.91    -4.65    -2.57     7.45    -4.99    -5.48    -0.62     1.93    18.99     0.00  2001.12
   -30.00    30.00   -71.95     5.31    -8.60    -2.48     9.14    -5.04    -5.60    -0.66     4.70    22.83     0.00  2276.05
   -30.00    35.00   -56.30     4.90   -12.32    -2.32    10.95    -5.09    -5.72    -0.70     7.46    26.63     0.00  2563.19
   -30.00    40.00   -47.06     4.56   -15.96    -2.11    12.89    -5.14    -5.85    -0.73    10.22    30.37     0.00  2862.41
   -30.00     0.00    21.91     5.64    11.97    -2.05     1.21    -4.81    -5.00    -0.38   -11.54    -1.04     0.00   815.78
   -30.00    -5.00    12.22     5.89    15.57    -1.79     0.45    -4.79    -4.93    -0.32   -14.02    -5.22     0.00   618.80
   -30.00   -10.00     6.39     6.08    19.06    -1.49    -0.11    -4.77    -4.86    -0.25   -16.36    -9.46     0.00   436.45
   -30.00   -15.00     2.80     6.21    22.45    -1.17    -0.48    -4.75    -4.81    -0.17   -18.54   -13.77     0.00   269.58
   -30.00   -20.00     0.75     6.29    25.72    -0.84    -0.62    -4.74    -4.76    -0.09   -20.53   -18.15     0.00   119.15
   -30.00   -25.00    -0.00     6.31    28.51    -0.56    -0.56    -4.73    -4.73    -0.00   -22.10   -22.10     0.00     0.00
   -30.00   -30.00     0.00     6.31    28.51    -0.56    -0.56    -4.73    -4.73    -0.00   -22.10   -22.10     0.00     0.00
   -30.00   -35.00     0.00     6.31    28.51    -0.56    -0.56    -4.73    -4.73    -0.00   -22.10   -22.10     0.00     0.00
   -30.00   -40.00     0.00     6.31    28.51    -0.56    -0.56    -4.73    -4.73    -0.00   -22.10   -22.10     0.00     0.00
   -35.00     0.00    21.91     5.64    11.97    -2.05     1.21    -4.81    -5.00    -0.38   -11.54    -1.04     0.00   815.78
   -35.00     5.00    39.96     5.27     8.23    -2.27     2.14    -4.84    -5.08    -0.43    -8.95     3.07     0.00  1026.71
   -35.00    10.00    84.23     4.62     4.19    -2.44     3.24    -4.87    -5.17    -0.48    -6.30     7.13     0.00  1251.05
   -35.00    15.00   365.83     1.48    -2.34    -2.54     4.49    -4.91    -5.27    -0.53    -3.58    11.14     0.00  1488.42
   -35.00    20.00  -245.62     7.60     0.40    -2.59     5.90    -4.95    -5.37    -0.58    -0.84    15.09     0.00  1738.52
   -35.00    25.00  -105.91     5.91    -4.65    -2.57     7.45    -4.99    -5.48    -0.62     1.93    18.99     0.00  2001.12
   -35.00    30.00   -71.95     5.31    -8.60    -2.48     9.14    -5.04    -5.60    -0.66     4.70    22.83     0.00  2276.05
   -35.00    35.00   -56.30     4.90   -12.32    -2.32    10.95    -5.09    -5.72    -0.70     7.46    26.63     0.00  2563.19
   -35.00    40.00   -47.06     4.56   -15.96    -2.11    12.89    -5.14    -5.85    -0.73    10.22    30.37     0.00  2862.41
   -35.00     0.00    21.91     5.64    11.97    -2.05     1.21    -4.81    -5.00    -0.38   -11.54    -1.04     0.00   815.78
   -35.00    -5.00    12.22     5.89    15.57    -1.79     0.45    -4.79    -4.93    -0.32   -14.02    -5.22     0.00   618.80
   -35.00   -10.00     6.39     6.08    19.06    -1.49    -0.11    -4.77    -4.86    -0.25   -16.36    -9.46     0.00   436.45
   -35.00   -15.00     2.80     6.21    22.45    -1.17    -0.48    -4.75    -4.81    -0.17   -18.54   -13.77     0.00   269.58
   -35.00   -20.00     0.75     6.29    25.72    -0.84    -0.62    -4.74    -4.76    -0.09   -20.53   -18.15     0.00   119.15
   -35.00   -25.00    -0.00     6.31    28.51    -0.56    -0.56    -4.73    -4.73    -0.00   -22.10   -22.10     0.00     0.00
   -35.00   -30.00     0.00     6.31    28.51    -0.56    -0.56    -4.73    -4.73    -0.00   -22.10   -22.10     0.00     0.00
   -35.00   -35.00     0.00     6.31    28.51    -0.56    -0.56    -4.73    -4.73    -0.00   -22.10   -22.10     0.00     0.00
   -35.00   -40.00     0.00     6.31    28.51    -0.56    -0.56    -4.73    -4.73    -0.00   -22.10   -22.10     0.00     0.00
   -40.00     0.00    21.91     5.64    11.97    -2.05     1.21    -4.81    -5.00    -0.38   -11.54    -1.04     0.00   815.78
   -40.00     5.00    39.96     5.27     8.23    -2.27     2.14    -4.84    -5.08    -0.43    -8.95     3.07     0.00  1026.71
   -40.00    10.00    84.23     4.62     4.19    -2.44     3.24    -4.87    -5.17    -0.48    -6.30     7.13     0.00  1251.05
   -40.00    15.00   365.83     1.48    -2.34    -2.54     4.49    -4.91    -5.27    -0.53    -3.58    11.14     0.00  1488.42
   -40.00    20.00  -245.62     7.60     0.40    -2.59     5.90    -4.95    -5.37    -0.58    -0.84    15.09     0.00  1738.52
   -40.00    25.00  -105.91     5.91    -4.65    -2.57     7.45    -4.99    -5.48    -0.62     1.93    18.99     0.00  2001.12
   -40.00    30.00   -71.95     5.31    -8.60    -2.48     9.14    -5.04    -5.60    -0.66     4.70    22.83     0.00  2276.05
   -40.00    35.00   -56.30     4.90   -12.32    -2.32    10.95    -5.09    -5.72    -0.70     7.46    26.63     0.00  2563.19
   -40.00    40.00   -47.06     4.56   -15.96    -2.11    12.89    -5.14    -5.85    -0.73    10.22    30.37     0.00  2862.41
   -40.00     0.00    21.91     5.64    11.97    -2.05     1.21    -4.81    -5.00    -0.38   -11.54    -1.04     0.00   815.78
   -40.00    -5.00    12.22     5.89    15.57    -1.79     0.45    -4.79    -4.93    -0.32   -14.02    -5.22     0.00   618.80
   -40.00   -10.00     6.39     6.08    19.06    -1.49    -0.11    -4.77    -4.86    -0.25   -16.36    -9.46     0.00   436.45
   -40.00   -15.00     2.80     6.21    22.45    -1.17    -0.48    -4.75    -4.81    -0.17   -18.54   -13.77     0.00   269.58
   -40.00   -20.00     0.75     6.29    25.72    -0.84    -0.62    -4.74    -4.76    -0.09   -20.53   -18.15     0.00   119.15
   -40.00   -25.00    -0.00     6.31    28.51    -0.56    -0.56    -4.73    -4.73    -0.00   -22.10   -22.10     0.00     0.00
   -40.00   -30.00     0.00     6.31    28.51    -0.56    -0.56    -4.73    -4.73    -0.00   -22.10   -22.10     0.00     0.00
   -40.00   -35.00     0.00     6.31    28.51    -0.56    -0.56    -4.73    -4.73    -0.00   -22.10   -22.10     0.00     0.00
   -40.00   -40.00     0.00     6.31    28.51    -0.56    -0.56    -4.73    -4.73    -0.00   -22.10   -22.10     0.00     0.00
