
  ----------------------------------------------------------------------------------------------------------------------------
  IPGKinematics  Version 3.6.11                                           Model: Querlenker                                   
  ----------------------------------------------------------------------------------------------------------------------------

   Table: Reciprocal Kinematics                                           Demo data                                           

  WhlTraL  WhlTraR    RCLat   RCVert   RCHeig     ToeL     ToeR  CamberL  CamberR  TotRoll  TransZL  TransZR WhlLoadL WhlLoadR
     [mm]     [mm]     [mm]     [mm]     [mm]    [min]    [min]    [deg]    [deg]    [deg]     [mm]     [mm]      [N]      [N]
    10.00    -5.00  -108.74     4.50     2.39     2.92    -1.90    -5.17    -4.92     0.39     7.43    -3.26  1178.28   139.28
    10.00   -10.00   -84.23     4.62     4.19     3.24    -2.44    -5.17    -4.87     0.48     7.13    -6.30  1251.05     0.00
    10.00   -15.00   -84.23     4.62     4.19     3.24    -2.44    -5.17    -4.87     0.48     7.13    -6.30  1251.05     0.00
    10.00   -20.00   -84.23     4.62     4.19     3.24    -2.44    -5.17    -4.87     0.48     7.13    -6.30  1251.05     0.00
    10.00   -25.00   -84.23     4.62     4.19     3.24    -2.44    -5.17    -4.87     0.48     7.13    -6.30  1251.05     0.00
    10.00   -30.00   -84.23     4.62     4.19     3.24    -2.44    -5.17    -4.87     0.48     7.13    -6.30  1251.05     0.00
    10.00   -35.00   -84.23     4.62     4.19     3.24    -2.44    -5.17    -4.87     0.48     7.13    -6.30  1251.05     0.00
    10.00   -40.00   -84.23     4.62     4.19     3.24    -2.44    -5.17    -4.87     0.48     7.13    -6.30  1251.05     0.00
    15.00     0.00   234.42     6.65     0.12     3.97    -1.46    -5.27    -5.00     0.38    11.66     1.29  1360.89   244.22
    15.00     5.00    62.05     5.11    -3.68     3.51    -0.30    -5.27    -5.08     0.25    12.12     5.31  1247.81   477.53
    15.00    10.00    19.57     4.70    -6.32     3.04     1.04    -5.27    -5.18     0.12    12.60     9.25  1130.69   733.20
    15.00    15.00    -0.00     4.49    -8.72     2.56     2.56    -5.28    -5.28    -0.00    13.09    13.09  1009.89  1009.89
    15.00    20.00   -11.32     4.35   -11.02     2.07     4.24    -5.28    -5.38    -0.12    13.60    16.85   885.70  1306.45
    15.00    25.00   -18.68     4.23   -13.26     1.58     6.06    -5.28    -5.49    -0.23    14.12    20.53   758.36  1621.84
    15.00    30.00   -23.76     4.14   -15.45     1.07     8.02    -5.28    -5.61    -0.34    14.65    24.14   628.06  1955.17
    15.00    35.00   -27.42     4.06   -17.60     0.57    10.10    -5.29    -5.73    -0.45    15.19    27.67   494.97  2305.63
    15.00    40.00   -30.08     3.98   -19.72     0.06    12.29    -5.29    -5.86    -0.56    15.74    31.14   359.24  2672.53
    15.00     0.00   234.42     6.65     0.12     3.97    -1.46    -5.27    -5.00     0.38    11.66     1.29  1360.89   244.22
    15.00    -5.00  -524.55     0.09    -4.14     4.42    -2.40    -5.27    -4.92     0.51    11.22    -2.84  1469.51    34.79
    15.00   -10.00  -365.83     1.48    -2.34     4.49    -2.54    -5.27    -4.91     0.53    11.14    -3.58  1488.42     0.00
    15.00   -15.00  -365.83     1.48    -2.34     4.49    -2.54    -5.27    -4.91     0.53    11.14    -3.58  1488.42     0.00
    15.00   -20.00  -365.83     1.48    -2.34     4.49    -2.54    -5.27    -4.91     0.53    11.14    -3.58  1488.42     0.00
    15.00   -25.00  -365.83     1.48    -2.34     4.49    -2.54    -5.27    -4.91     0.53    11.14    -3.58  1488.42     0.00
    15.00   -30.00  -365.83     1.48    -2.34     4.49    -2.54    -5.27    -4.91     0.53    11.14    -3.58  1488.42     0.00
    15.00   -35.00  -365.83     1.48    -2.34     4.49    -2.54    -5.27    -4.91     0.53    11.14    -3.58  1488.42     0.00
    15.00   -40.00  -365.83     1.48    -2.34     4.49    -2.54    -5.27    -4.91     0.53    11.14    -3.58  1488.42     0.00
    20.00     0.00   128.00     6.02    -2.63     5.62    -1.97    -5.37    -5.00     0.49    15.38     1.75  1667.60   131.49
    20.00     5.00    59.40     5.07    -5.86     5.17    -0.81    -5.38    -5.08     0.36    15.85     5.79  1551.07   360.62
    20.00    10.00    28.80     4.62    -8.54     4.71     0.54    -5.38    -5.18     0.24    16.35     9.74  1430.57   612.49
    20.00    15.00    11.32     4.35   -11.02     4.24     2.07    -5.38    -5.28     0.12    16.85    13.60  1306.45   885.70
    20.00    20.00    -0.00     4.15   -13.39     3.76     3.76    -5.39    -5.39    -0.00    17.37    17.37  1179.02  1179.02
    20.00    25.00    -7.89     4.00   -15.69     3.28     5.59    -5.39    -5.50    -0.11    17.90    21.06  1048.52  1491.37
    20.00    30.00   -13.64     3.87   -17.92     2.79     7.56    -5.39    -5.62    -0.23    18.44    24.68   915.16  1821.83
    20.00    35.00   -17.94     3.76   -20.11     2.29     9.65    -5.40    -5.74    -0.34    19.00    28.23   779.11  2169.56
    20.00    40.00   -21.21     3.67   -22.26     1.80    11.86    -5.40    -5.86    -0.44    19.56    31.70   640.53  2533.84
    20.00     0.00   128.00     6.02    -2.63     5.62    -1.97    -5.37    -5.00     0.49    15.38     1.75  1667.60   131.49
    20.00    -5.00   245.62     7.60     0.40     5.90    -2.59    -5.37    -4.95     0.58    15.09    -0.84  1738.52     0.00
    20.00   -10.00   245.62     7.60     0.40     5.90    -2.59    -5.37    -4.95     0.58    15.09    -0.84  1738.52     0.00
    20.00   -15.00   245.62     7.60     0.40     5.90    -2.59    -5.37    -4.95     0.58    15.09    -0.84  1738.52     0.00
    20.00   -20.00   245.62     7.60     0.40     5.90    -2.59    -5.37    -4.95     0.58    15.09    -0.84  1738.52     0.00
    20.00   -25.00   245.62     7.60     0.40     5.90    -2.59    -5.37    -4.95     0.58    15.09    -0.84  1738.52     0.00
    20.00   -30.00   245.62     7.60     0.40     5.90    -2.59    -5.37    -4.95     0.58    15.09    -0.84  1738.52     0.00
    20.00   -35.00   245.62     7.60     0.40     5.90    -2.59    -5.37    -4.95     0.58    15.09    -0.84  1738.52     0.00
    20.00   -40.00   245.62     7.60     0.40     5.90    -2.59    -5.37    -4.95     0.58    15.09    -0.84  1738.52     0.00
    25.00     0.00   101.41     5.83    -4.90     7.42    -2.49    -5.48    -5.00     0.61    19.02     2.22  1992.59    15.38
    25.00     5.00    58.31     5.02    -8.00     6.98    -1.32    -5.49    -5.08     0.48    19.51     6.28  1872.79   240.40
