
  ----------------------------------------------------------------------------------------------------------------------------
  IPGKinematics  Version 3.6.11                                           Model: Querlenker                                   
  ----------------------------------------------------------------------------------------------------------------------------

   Table: Compliance - Force Y at Wheel Center                            Demo data                                           

   WhTra  ForceY_L ForceY_R   TraX_L   TraX_R   TraY_L   TraY_R   TraZ_L   TraZ_R   RotX_L   RotX_R   RotY_L   RotY_R   RotZ_L   RotZ_R WhlLoadL WhlLoadR
     [mm]      [N]      [N]     [mm]     [mm]     [mm]     [mm]     [mm]     [mm]    [deg]    [deg]    [deg]    [deg]    [deg]    [deg]      [N]      [N]

    -5.00  1000.00     0.00     0.19     0.29     0.38    -0.29    -4.62    -4.47     0.92    -0.93     0.07     0.07     0.05    -0.01   477.09   440.98
    -5.00 -1000.00     0.00     0.39     0.29     0.20    -0.29    -4.27    -4.42     0.93    -0.93     0.07     0.07    -0.02    -0.01   389.95   426.90
    -5.00     0.00  1000.00     0.29     0.39     0.29    -0.20    -4.42    -4.27     0.93    -0.93     0.07     0.07     0.01     0.02   426.90   389.95
    -5.00     0.00 -1000.00     0.29     0.19     0.29    -0.38    -4.47    -4.62     0.93    -0.92     0.07     0.07     0.01    -0.05   440.98   477.09
   -10.00  1000.00     0.00     0.49     0.59     0.59    -0.51    -9.05    -8.95     0.86    -0.86     0.15     0.15     0.06    -0.02   341.81   316.67
   -10.00 -1000.00     0.00     0.70     0.59     0.43    -0.51    -8.81    -8.91     0.86    -0.86     0.15     0.15    -0.01    -0.02   280.73   306.47
   -10.00     0.00  1000.00     0.59     0.70     0.51    -0.43    -8.91    -8.81     0.86    -0.86     0.15     0.15     0.02     0.01   306.47   280.73
   -10.00     0.00 -1000.00     0.59     0.49     0.51    -0.59    -8.95    -9.05     0.86    -0.86     0.15     0.15     0.02    -0.06   316.67   341.81
   -15.00  1000.00     0.00     0.79     0.90     0.73    -0.65   -13.52   -13.47     0.80    -0.81     0.23     0.23     0.07    -0.03   214.41   201.28
   -15.00 -1000.00     0.00     1.01     0.90     0.57    -0.65   -13.39   -13.44     0.81    -0.81     0.23     0.23    -0.00    -0.03   181.03   194.49
   -15.00     0.00  1000.00     0.90     1.01     0.65    -0.57   -13.44   -13.39     0.81    -0.81     0.23     0.23     0.03     0.00   194.49   181.03
   -15.00     0.00 -1000.00     0.90     0.79     0.65    -0.73   -13.47   -13.52     0.81    -0.80     0.23     0.23     0.03    -0.07   201.28   214.41
   -20.00  1000.00     0.00     1.10     1.22     0.78    -0.71   -18.02   -18.02     0.76    -0.76     0.31     0.31     0.07    -0.03    94.50    94.49
   -20.00 -1000.00     0.00     1.33     1.22     0.63    -0.71   -18.01   -18.01     0.76    -0.76     0.31     0.31    -0.00    -0.04    90.58    90.56
   -20.00     0.00  1000.00     1.22     1.33     0.71    -0.63   -18.01   -18.01     0.76    -0.76     0.31     0.31     0.04     0.00    90.56    90.58
   -20.00     0.00 -1000.00     1.22     1.10     0.71    -0.78   -18.02   -18.02     0.76    -0.76     0.31     0.31     0.03    -0.07    94.49    94.50
   -25.00  1000.00     0.00     1.38     1.51     0.77    -0.69   -21.93   -22.26     0.73    -0.73     0.38     0.38     0.07    -0.04     0.00     0.00
   -25.00 -1000.00     0.00     1.66     1.53     0.61    -0.69   -22.66   -22.42     0.73    -0.73     0.39     0.39    -0.00    -0.04     7.08     0.00
   -25.00     0.00  1000.00     1.53     1.66     0.69    -0.61   -22.42   -22.66     0.73    -0.73     0.39     0.39     0.04     0.00     0.00     7.08
   -25.00     0.00 -1000.00     1.51     1.38     0.69    -0.77   -22.26   -21.93     0.73    -0.73     0.38     0.38     0.04    -0.07     0.00     0.00
   -30.00  1000.00     0.00     1.38     1.51     0.77    -0.69   -21.93   -22.26     0.73    -0.73     0.38     0.38     0.07    -0.04     0.00     0.00
   -30.00 -1000.00     0.00     1.68     1.53     0.60    -0.69   -22.96   -22.53     0.73    -0.73     0.40     0.39    -0.00    -0.04     0.00     0.00
   -30.00     0.00  1000.00     1.53     1.68     0.69    -0.60   -22.53   -22.96     0.73    -0.73     0.39     0.40     0.04     0.00     0.00     0.00
   -30.00     0.00 -1000.00     1.51     1.38     0.69    -0.77   -22.26   -21.93     0.73    -0.73     0.38     0.38     0.04    -0.07     0.00     0.00
   -35.00  1000.00     0.00     1.38     1.51     0.77    -0.69   -21.93   -22.26     0.73    -0.73     0.38     0.38     0.07    -0.04     0.00     0.00
   -35.00 -1000.00     0.00     1.68     1.53     0.60    -0.69   -22.96   -22.53     0.73    -0.73     0.40     0.39    -0.00    -0.04     0.00     0.00
   -35.00     0.00  1000.00     1.53     1.68     0.69    -0.60   -22.53   -22.96     0.73    -0.73     0.39     0.40     0.04     0.00     0.00     0.00
   -35.00     0.00 -1000.00     1.51     1.38     0.69    -0.77   -22.26   -21.93     0.73    -0.73     0.38     0.38     0.04    -0.07     0.00     0.00
   -40.00  1000.00     0.00     1.38     1.51     0.77    -0.69   -21.93   -22.26     0.73    -0.73     0.38     0.38     0.07    -0.04     0.00     0.00
   -40.00 -1000.00     0.00     1.68     1.53     0.60    -0.69   -22.96   -22.53     0.73    -0.73     0.40     0.39    -0.00    -0.04     0.00     0.00
   -40.00     0.00  1000.00     1.53     1.68     0.69    -0.60   -22.53   -22.96     0.73    -0.73     0.39     0.40     0.04     0.00     0.00     0.00
   -40.00     0.00 -1000.00     1.51     1.38     0.69    -0.77   -22.26   -21.93     0.73    -0.73     0.38     0.38     0.04    -0.07     0.00     0.00
