
  ----------------------------------------------------------------------------------------------------------------------------
  IPGKinematics  Version 3.6.11                                           Model: Querlenker                                   
  ----------------------------------------------------------------------------------------------------------------------------

   Table: Reciprocal Kinematics                                           Demo data                                           

  WhlTraL  WhlTraR    RCLat   RCVert   RCHeig     ToeL     ToeR  CamberL  CamberR  TotRoll  TransZL  TransZR WhlLoadL WhlLoadR
     [mm]     [mm]     [mm]     [mm]     [mm]    [min]    [min]    [deg]    [deg]    [deg]     [mm]     [mm]      [N]      [N]
    10.00    -5.00  -108.74     4.50     2.39     3.24    -1.98    -1.17    -0.92     0.39     7.43    -3.26  1183.66   144.67
    10.00   -10.00   -83.57     4.62     4.26     3.51    -2.73    -1.17    -0.87     0.49     7.12    -6.42  1259.35     0.00
    10.00   -15.00   -83.57     4.62     4.26     3.51    -2.73    -1.17    -0.87     0.49     7.12    -6.42  1259.35     0.00
    10.00   -20.00   -83.57     4.62     4.26     3.51    -2.73    -1.17    -0.87     0.49     7.12    -6.42  1259.35     0.00
    10.00   -25.00   -83.57     4.62     4.26     3.51    -2.73    -1.17    -0.87     0.49     7.12    -6.42  1259.35     0.00
    10.00   -30.00   -83.57     4.62     4.26     3.51    -2.73    -1.17    -0.87     0.49     7.12    -6.42  1259.35     0.00
    10.00   -35.00   -83.57     4.62     4.26     3.51    -2.73    -1.17    -0.87     0.49     7.12    -6.42  1259.35     0.00
    10.00   -40.00   -83.57     4.62     4.26     3.51    -2.73    -1.17    -0.87     0.49     7.12    -6.42  1259.35     0.00
    15.00     0.00   234.41     6.65     0.12     4.54    -1.21    -1.27    -1.00     0.38    11.66     1.29  1366.25   249.59
    15.00     5.00    62.05     5.11    -3.68     4.17     0.16    -1.27    -1.08     0.25    12.12     5.32  1253.16   482.89
    15.00    10.00    19.57     4.70    -6.32     3.78     1.70    -1.27    -1.18     0.12    12.60     9.25  1136.03   738.54
    15.00    15.00    -0.00     4.49    -8.72     3.39     3.39    -1.28    -1.28    -0.00    13.09    13.09  1015.23  1015.23
    15.00    20.00   -11.32     4.35   -11.03     3.00     5.23    -1.28    -1.38    -0.12    13.60    16.85   891.03  1311.77
    15.00    25.00   -18.67     4.23   -13.26     2.59     7.19    -1.28    -1.49    -0.23    14.12    20.53   763.67  1627.15
    15.00    30.00   -23.76     4.14   -15.45     2.19     9.27    -1.28    -1.61    -0.34    14.65    24.14   633.35  1960.46
    15.00    35.00   -27.42     4.06   -17.61     1.78    11.46    -1.29    -1.73    -0.45    15.19    27.67   500.25  2310.91
    15.00    40.00   -30.08     3.98   -19.72     1.37    13.75    -1.29    -1.86    -0.56    15.74    31.14   364.51  2677.80
    15.00     0.00   234.41     6.65     0.12     4.54    -1.21    -1.27    -1.00     0.38    11.66     1.29  1366.25   249.59
    15.00    -5.00  -524.60     0.09    -4.14     4.91    -2.40    -1.27    -0.92     0.51    11.22    -2.84  1474.88    40.18
    15.00   -10.00  -349.91     1.61    -2.14     4.98    -2.61    -1.27    -0.90     0.54    11.13    -3.70  1496.75     0.00
    15.00   -15.00  -349.91     1.61    -2.14     4.98    -2.61    -1.27    -0.90     0.54    11.13    -3.70  1496.75     0.00
    15.00   -20.00  -349.91     1.61    -2.14     4.98    -2.61    -1.27    -0.90     0.54    11.13    -3.70  1496.75     0.00
    15.00   -25.00  -349.91     1.61    -2.14     4.98    -2.61    -1.27    -0.90     0.54    11.13    -3.70  1496.75     0.00
    15.00   -30.00  -349.91     1.61    -2.14     4.98    -2.61    -1.27    -0.90     0.54    11.13    -3.70  1496.75     0.00
    15.00   -35.00  -349.91     1.61    -2.14     4.98    -2.61    -1.27    -0.90     0.54    11.13    -3.70  1496.75     0.00
