
  ----------------------------------------------------------------------------------------------------------------------------
  IPGKinematics  Version 3.6.11                                           Model: Querlenker                                   
  ----------------------------------------------------------------------------------------------------------------------------

   Table: Compliance - Torque Y at Wheel Center                           Demo data                                           

   WhTra  TorquY_L TorquY_R   TraX_L   TraX_R   TraY_L   TraY_R   TraZ_L   TraZ_R   RotX_L   RotX_R   RotY_L   RotY_R   RotZ_L   RotZ_R WhlLoadL WhlLoadR
     [mm]     [Nm]     [Nm]     [mm]     [mm]     [mm]     [mm]     [mm]     [mm]    [deg]    [deg]    [deg]    [deg]    [deg]    [deg]      [N]      [N]
    -5.00  -100.00     0.00     0.23     0.29     0.29    -0.29    -4.36    -4.42     4.90    -4.93    -0.01     0.07     0.08    -0.01   408.81   422.84
    -5.00     0.00   100.00     0.29     0.35     0.29    -0.29    -4.47    -4.53     4.93    -4.95     0.07     0.15     0.01     0.07   434.36   448.75
    -5.00     0.00  -100.00     0.29     0.23     0.29    -0.29    -4.42    -4.36     4.93    -4.90     0.07    -0.01     0.01    -0.08   422.84   408.81
   -10.00   100.00     0.00     0.66     0.59     0.51    -0.51    -9.03    -8.95     4.89    -4.86     0.23     0.15    -0.06    -0.01   328.01   311.38
   -10.00  -100.00     0.00     0.53     0.59     0.51    -0.51    -8.84    -8.91     4.84    -4.86     0.07     0.15     0.09    -0.01   284.76   301.00
   -10.00     0.00   100.00     0.59     0.66     0.51    -0.51    -8.95    -9.03     4.86    -4.89     0.15     0.23     0.01     0.06   311.38   328.01
   -10.00     0.00  -100.00     0.59     0.53     0.51    -0.51    -8.91    -8.84     4.86    -4.84     0.15     0.07     0.01    -0.09   301.00   284.76
   -15.00   100.00     0.00     0.97     0.90     0.65    -0.65   -13.56   -13.47     4.83    -4.81     0.31     0.23    -0.06    -0.01   216.02   197.02
   -15.00  -100.00     0.00     0.83     0.90     0.65    -0.65   -13.35   -13.43     4.78    -4.81     0.14     0.23     0.09    -0.02   169.34   187.91
   -15.00     0.00   100.00     0.90     0.97     0.65    -0.65   -13.47   -13.56     4.81    -4.83     0.23     0.31     0.01     0.06   197.02   216.02
   -15.00     0.00  -100.00     0.90     0.83     0.65    -0.65   -13.43   -13.35     4.81    -4.78     0.23     0.14     0.02    -0.09   187.91   169.34
   -20.00   100.00     0.00     1.29     1.22     0.70    -0.71   -18.13   -18.03     4.79    -4.76     0.39     0.31    -0.07    -0.01   112.41    90.94
   -20.00  -100.00     0.00     1.15     1.21     0.71    -0.71   -17.91   -18.00     4.73    -4.76     0.23     0.31     0.09    -0.01    62.19    83.21
   -20.00     0.00   100.00     1.22     1.29     0.71    -0.70   -18.03   -18.13     4.76    -4.79     0.31     0.39     0.01     0.07    90.94   112.41
   -20.00     0.00  -100.00     1.21     1.15     0.71    -0.71   -18.00   -17.91     4.76    -4.73     0.31     0.23     0.01    -0.09    83.21    62.19
   -25.00   100.00     0.00     1.61     1.52     0.68    -0.69   -22.72   -22.39     4.75    -4.73     0.48     0.39    -0.07    -0.01    14.39     0.00
   -25.00  -100.00     0.00     1.36     1.47     0.71    -0.70   -21.03   -21.62     4.71    -4.73     0.28     0.37     0.09    -0.01     0.00     0.00
   -25.00     0.00   100.00     1.52     1.61     0.69    -0.68   -22.39   -22.72     4.73    -4.75     0.39     0.48     0.01     0.07     0.00    14.39
   -25.00     0.00  -100.00     1.47     1.36     0.70    -0.71   -21.62   -21.03     4.73    -4.71     0.37     0.28     0.01    -0.09     0.00     0.00
   -30.00   100.00     0.00     1.65     1.54     0.67    -0.69   -23.25   -22.58     4.75    -4.73     0.49     0.39    -0.07    -0.01     0.00     0.00
   -30.00  -100.00     0.00     1.36     1.47     0.71    -0.70   -21.03   -21.62     4.71    -4.73     0.28     0.37     0.09    -0.01     0.00     0.00
   -30.00     0.00   100.00     1.54     1.65     0.69    -0.67   -22.58   -23.25     4.73    -4.75     0.39     0.49     0.01     0.07     0.00     0.00
   -30.00     0.00  -100.00     1.47     1.36     0.70    -0.71   -21.62   -21.03     4.73    -4.71     0.37     0.28     0.01    -0.09     0.00     0.00
   -35.00   100.00     0.00     1.65     1.54     0.67    -0.69   -23.25   -22.58     4.75    -4.73     0.49     0.39    -0.07    -0.01     0.00     0.00
   -35.00  -100.00     0.00     1.36     1.47     0.71    -0.70   -21.03   -21.62     4.71    -4.73     0.28     0.37     0.09    -0.01     0.00     0.00
   -35.00     0.00   100.00     1.54     1.65     0.69    -0.67   -22.58   -23.25     4.73    -4.75     0.39     0.49     0.01     0.07     0.00     0.00
   -35.00     0.00  -100.00     1.47     1.36     0.70    -0.71   -21.62   -21.03     4.73    -4.71     0.37     0.28     0.01    -0.09     0.00     0.00
   -40.00   100.00     0.00     1.65     1.54     0.67    -0.69   -23.25   -22.58     4.75    -4.73     0.49     0.39    -0.07    -0.01     0.00     0.00
   -40.00  -100.00     0.00     1.36     1.47     0.71    -0.70   -21.03   -21.62     4.71    -4.73     0.28     0.37     0.09    -0.01     0.00     0.00
   -40.00     0.00   100.00     1.54     1.65     0.69    -0.67   -22.58   -23.25     4.73    -4.75     0.39     0.49     0.01     0.07     0.00     0.00
   -40.00     0.00  -100.00     1.47     1.36     0.70    -0.71   -21.62   -21.03     4.73    -4.71     0.37     0.28     0.01    -0.09     0.00     0.00
