
  ----------------------------------------------------------------------------------------------------------------------------
  IPGKinematics  Version 3.6.11                                           Model: Querlenker                                   
  ----------------------------------------------------------------------------------------------------------------------------

   Table: Compliance - Torque Y at Wheel Center                           Demo data                                           

   WhTra  TorquY_L TorquY_R   TraX_L   TraX_R   TraY_L   TraY_R   TraZ_L   TraZ_R   RotX_L   RotX_R   RotY_L   RotY_R   RotZ_L   RotZ_R WhlLoadL WhlLoadR
     [mm]     [Nm]     [Nm]     [mm]     [mm]     [mm]     [mm]     [mm]     [mm]    [deg]    [deg]    [deg]    [deg]    [deg]    [deg]      [N]      [N]
    -5.00  -100.00     0.00     0.23     0.29     0.29    -0.29    -4.36    -4.42     0.90    -0.93    -0.01     0.07     0.08    -0.01   414.22   428.25
    -5.00     0.00   100.00     0.29     0.35     0.29    -0.29    -4.47    -4.53     0.93    -0.95     0.07     0.15     0.01     0.06   439.78   454.16
    -5.00     0.00  -100.00     0.29     0.23     0.29    -0.29    -4.42    -4.36     0.93    -0.90     0.07    -0.01     0.01    -0.08   428.25   414.22
   -10.00   100.00     0.00     0.66     0.59     0.51    -0.51    -9.03    -8.95     0.89    -0.86     0.23     0.15    -0.05    -0.02   333.44   316.81
   -10.00  -100.00     0.00     0.53     0.59     0.51    -0.51    -8.84    -8.91     0.84    -0.86     0.07     0.15     0.10    -0.02   290.19   306.42
   -10.00     0.00   100.00     0.59     0.66     0.51    -0.51    -8.95    -9.03     0.86    -0.89     0.15     0.23     0.02     0.05   316.81   333.44
   -10.00     0.00  -100.00     0.59     0.53     0.51    -0.51    -8.91    -8.84     0.86    -0.84     0.15     0.07     0.02    -0.10   306.42   290.19
   -15.00   100.00     0.00     0.97     0.90     0.65    -0.65   -13.56   -13.47     0.83    -0.81     0.31     0.23    -0.04    -0.03   221.46   202.46
   -15.00  -100.00     0.00     0.83     0.90     0.65    -0.65   -13.35   -13.44     0.78    -0.81     0.14     0.22     0.10    -0.03   174.77   193.35
   -15.00     0.00   100.00     0.90     0.97     0.65    -0.65   -13.47   -13.56     0.81    -0.83     0.23     0.31     0.03     0.04   202.46   221.46
   -15.00     0.00  -100.00     0.90     0.83     0.65    -0.65   -13.44   -13.35     0.81    -0.78     0.22     0.14     0.03    -0.10   193.35   174.77
   -20.00   100.00     0.00     1.29     1.22     0.70    -0.71   -18.13   -18.03     0.79    -0.76     0.39     0.31    -0.04    -0.03   117.87    96.39
   -20.00  -100.00     0.00     1.15     1.21     0.71    -0.71   -17.91   -18.00     0.73    -0.76     0.22     0.31     0.11    -0.04    67.64    88.66
   -20.00     0.00   100.00     1.22     1.29     0.71    -0.70   -18.03   -18.13     0.76    -0.79     0.31     0.39     0.03     0.04    96.39   117.87
