
  ----------------------------------------------------------------------------------------------------------------------------
  IPGKinematics  Version 3.6.11                                           Model: Querlenker                                   
  ----------------------------------------------------------------------------------------------------------------------------

   Table: Compliance - Force Z at Wheel Center                            Demo data                                           

   WhTra  ForceZ_L ForceZ_R   TraX_L   TraX_R   TraY_L   TraY_R   TraZ_L   TraZ_R   RotX_L   RotX_R   RotY_L   RotY_R   RotZ_L   RotZ_R WhlLoadL WhlLoadR
     [mm]      [N]      [N]     [mm]     [mm]     [mm]     [mm]     [mm]     [mm]    [deg]    [deg]    [deg]    [deg]    [deg]    [deg]      [N]      [N]

    -5.00  1000.00     0.00    -0.35     0.26    -0.36    -0.20     4.79    -3.54     5.11    -4.92    -0.05     0.03    -0.02    -0.03     0.00   207.88
    -5.00 -1000.00     0.00     0.53     0.30     0.45    -0.32    -7.80    -4.74     4.87    -4.93     0.13     0.09     0.01    -0.00  1254.65   500.40
    -5.00     0.00  1000.00     0.26    -0.35     0.20     0.36    -3.54     4.79     4.92    -5.11     0.03    -0.05     0.03     0.02   207.88     0.00
    -5.00     0.00 -1000.00     0.30     0.53     0.32    -0.45    -4.74    -7.80     4.93    -4.87     0.09     0.13     0.00    -0.01   500.40  1254.65
   -10.00  1000.00     0.00    -0.24     0.55    -0.19    -0.42     2.99    -7.88     5.08    -4.85    -0.02     0.10    -0.02    -0.04     0.00    49.23
   -10.00 -1000.00     0.00     0.84     0.60     0.61    -0.53   -12.36    -9.19     4.82    -4.86     0.21     0.16     0.01    -0.01  1148.89   369.71
   -10.00     0.00  1000.00     0.55    -0.24     0.42     0.19    -7.88     2.99     4.85    -5.08     0.10    -0.02     0.04     0.02    49.23     0.00
   -10.00     0.00 -1000.00     0.60     0.84     0.53    -0.61    -9.19   -12.36     4.86    -4.82     0.16     0.21     0.01    -0.01   369.71  1148.89
   -15.00  1000.00     0.00    -0.20     0.65    -0.14    -0.48     2.41    -9.36     5.07    -4.83    -0.01     0.12    -0.02    -0.04     0.00     0.00
   -15.00 -1000.00     0.00     1.16     0.91     0.69    -0.66   -16.96   -13.68     4.77    -4.81     0.29     0.24     0.01    -0.01  1052.12   247.11
   -15.00     0.00  1000.00     0.65    -0.20     0.48     0.14    -9.36     2.41     4.83    -5.07     0.12    -0.01     0.04     0.02     0.00     0.00
   -15.00     0.00 -1000.00     0.91     1.16     0.66    -0.69   -13.68   -16.96     4.81    -4.77     0.24     0.29     0.01    -0.01   247.11  1052.12
   -20.00  1000.00     0.00    -0.20     0.65    -0.14    -0.48     2.41    -9.36     5.07    -4.83    -0.01     0.12    -0.02    -0.04     0.00     0.00
   -20.00 -1000.00     0.00     1.48     1.22     0.69    -0.72   -21.59   -18.20     4.73    -4.76     0.38     0.32     0.00    -0.01   963.79   132.36
   -20.00     0.00  1000.00     0.65    -0.20     0.48     0.14    -9.36     2.41     4.83    -5.07     0.12    -0.01     0.04     0.02     0.00     0.00
   -20.00     0.00 -1000.00     1.22     1.48     0.72    -0.69   -18.20   -21.59     4.76    -4.73     0.32     0.38     0.01    -0.00   132.36   963.79
   -25.00  1000.00     0.00    -0.20     0.65    -0.14    -0.48     2.41    -9.36     5.07    -4.83    -0.01     0.12    -0.02    -0.04     0.00     0.00
   -25.00 -1000.00     0.00     1.81     1.55     0.60    -0.69   -26.25   -22.76     4.71    -4.73     0.47     0.40    -0.01    -0.01   883.17    25.22
   -25.00     0.00  1000.00     0.65    -0.20     0.48     0.14    -9.36     2.41     4.83    -5.07     0.12    -0.01     0.04     0.02     0.00     0.00
   -25.00     0.00 -1000.00     1.55     1.81     0.69    -0.60   -22.76   -26.25     4.73    -4.71     0.40     0.47     0.01     0.01    25.22   883.17
   -30.00  1000.00     0.00    -0.20     0.65    -0.14    -0.48     2.41    -9.36     5.07    -4.83    -0.01     0.12    -0.02    -0.04     0.00     0.00
   -30.00 -1000.00     0.00     2.15     1.69     0.43    -0.65   -30.88   -24.82     4.70    -4.72     0.56     0.44    -0.02    -0.00   792.05     0.00
   -30.00     0.00  1000.00     0.65    -0.20     0.48     0.14    -9.36     2.41     4.83    -5.07     0.12    -0.01     0.04     0.02     0.00     0.00
   -30.00     0.00 -1000.00     1.69     2.15     0.65    -0.43   -24.82   -30.88     4.72    -4.70     0.44     0.56     0.00     0.02     0.00   792.05
   -35.00  1000.00     0.00    -0.20     0.65    -0.14    -0.48     2.41    -9.36     5.07    -4.83    -0.01     0.12    -0.02    -0.04     0.00     0.00
   -35.00 -1000.00     0.00     2.50     1.76     0.16    -0.63   -35.56   -25.82     4.70    -4.72     0.65     0.46    -0.03     0.00   712.17     0.00
   -35.00     0.00  1000.00     0.65    -0.20     0.48     0.14    -9.36     2.41     4.83    -5.07     0.12    -0.01     0.04     0.02     0.00     0.00
   -35.00     0.00 -1000.00     1.76     2.50     0.63    -0.16   -25.82   -35.56     4.72    -4.70     0.46     0.65    -0.00     0.03     0.00   712.17
   -40.00  1000.00     0.00    -0.20     0.65    -0.14    -0.48     2.41    -9.36     5.07    -4.83    -0.01     0.12    -0.02    -0.04     0.00     0.00
   -40.00 -1000.00     0.00     2.85     1.81    -0.21    -0.61   -40.31   -26.51     4.71    -4.71     0.75     0.48    -0.05     0.01   648.96     0.00
   -40.00     0.00  1000.00     0.65    -0.20     0.48     0.14    -9.36     2.41     4.83    -5.07     0.12    -0.01     0.04     0.02     0.00     0.00
   -40.00     0.00 -1000.00     1.81     2.85     0.61     0.21   -26.51   -40.31     4.71    -4.71     0.48     0.75    -0.01     0.05     0.00   648.96
