
  ----------------------------------------------------------------------------------------------------------------------------
  IPGKinematics  Version 3.6.11                                           Model: Querlenker                                   
  ----------------------------------------------------------------------------------------------------------------------------

   Table: Compliance - Torque Z at Wheel Center                           Demo data                                           

   WhTra  TorquZ_L TorquZ_R   TraX_L   TraX_R   TraY_L   TraY_R   TraZ_L   TraZ_R   RotX_L   RotX_R   RotY_L   RotY_R   RotZ_L   RotZ_R WhlLoadL WhlLoadR
     [mm]     [Nm]     [Nm]     [mm]     [mm]     [mm]     [mm]     [mm]     [mm]    [deg]    [deg]    [deg]    [deg]    [deg]    [deg]      [N]      [N]
    -5.00  -100.00     0.00     0.55     0.29     0.23    -0.29    -4.43    -4.45     0.96    -0.93     0.14     0.07    -0.15    -0.01   427.95   435.98
    -5.00     0.00   100.00     0.29     0.55     0.29    -0.23    -4.45    -4.43     0.93    -0.96     0.07     0.14     0.01     0.15   435.98   427.95
    -5.00     0.00  -100.00     0.29     0.03     0.29    -0.35    -4.44    -4.46     0.93    -0.89     0.07     0.00     0.01    -0.18   432.07   440.62
   -10.00   100.00     0.00     0.33     0.59     0.57    -0.51    -8.94    -8.92     0.83    -0.86     0.08     0.15     0.19    -0.02   317.11   309.78
   -10.00  -100.00     0.00     0.85     0.59     0.45    -0.51    -8.92    -8.94     0.89    -0.86     0.22     0.15    -0.14    -0.02   306.73   313.49
   -10.00     0.00   100.00     0.59     0.85     0.51    -0.45    -8.94    -8.92     0.86    -0.89     0.15     0.22     0.02     0.14   313.49   306.73
   -10.00     0.00  -100.00     0.59     0.33     0.51    -0.57    -8.92    -8.94     0.86    -0.83     0.15     0.08     0.02    -0.19   309.78   317.11
   -15.00   100.00     0.00     0.63     0.90     0.71    -0.65   -13.46   -13.45     0.77    -0.81     0.15     0.23     0.20    -0.03   202.22   196.22
   -15.00  -100.00     0.00     1.17     0.90     0.58    -0.65   -13.45   -13.46     0.84    -0.81     0.30     0.23    -0.14    -0.03   194.27   199.63
   -15.00     0.00   100.00     0.90     1.17     0.65    -0.58   -13.46   -13.45     0.81    -0.84     0.23     0.30     0.03     0.14   199.63   194.27
   -15.00     0.00  -100.00     0.90     0.63     0.65    -0.71   -13.45   -13.46     0.81    -0.77     0.23     0.15     0.03    -0.20   196.22   202.22
   -20.00   100.00     0.00     0.95     1.22     0.77    -0.71   -18.02   -18.01     0.73    -0.76     0.23     0.31     0.20    -0.04    95.61    91.03
   -20.00  -100.00     0.00     1.48     1.22     0.64    -0.71   -18.01   -18.02     0.80    -0.76     0.38     0.31    -0.13    -0.03    90.20    94.06
   -20.00     0.00   100.00     1.22     1.48     0.71    -0.64   -18.02   -18.01     0.76    -0.80     0.31     0.38     0.03     0.13    94.06    90.20
   -20.00     0.00  -100.00     1.22     0.95     0.71    -0.77   -18.01   -18.02     0.76    -0.73     0.31     0.23     0.04    -0.20    91.03    95.61
   -25.00   100.00     0.00     1.25     1.52     0.75    -0.69   -22.41   -22.34     0.69    -0.73     0.31     0.39     0.21    -0.04     0.00     0.00
   -25.00  -100.00     0.00     1.79     1.52     0.63    -0.69   -22.35   -22.41     0.76    -0.73     0.46     0.39    -0.14    -0.04     0.00     0.00
   -25.00     0.00   100.00     1.52     1.79     0.69    -0.63   -22.41   -22.35     0.73    -0.76     0.39     0.46     0.04     0.14     0.00     0.00
   -25.00     0.00  -100.00     1.52     1.25     0.69    -0.75   -22.34   -22.41     0.73    -0.69     0.39     0.31     0.04    -0.21     0.00     0.00
   -30.00   100.00     0.00     1.25     1.52     0.75    -0.69   -22.41   -22.34     0.69    -0.73     0.31     0.39     0.21    -0.04     0.00     0.00
   -30.00  -100.00     0.00     1.79     1.52     0.63    -0.69   -22.35   -22.41     0.76    -0.73     0.46     0.39    -0.14    -0.04     0.00     0.00
   -30.00     0.00   100.00     1.52     1.79     0.69    -0.63   -22.41   -22.35     0.73    -0.76     0.39     0.46     0.04     0.14     0.00     0.00
   -30.00     0.00  -100.00     1.52     1.25     0.69    -0.75   -22.34   -22.41     0.73    -0.69     0.39     0.31     0.04    -0.21     0.00     0.00
   -35.00   100.00     0.00     1.25     1.52     0.75    -0.69   -22.41   -22.34     0.69    -0.73     0.31     0.39     0.21    -0.04     0.00     0.00
   -35.00  -100.00     0.00     1.79     1.52     0.63    -0.69   -22.35   -22.41     0.76    -0.73     0.46     0.39    -0.14    -0.04     0.00     0.00
   -35.00     0.00   100.00     1.52     1.79     0.69    -0.63   -22.41   -22.35     0.73    -0.76     0.39     0.46     0.04     0.14     0.00     0.00
   -35.00     0.00  -100.00     1.52     1.25     0.69    -0.75   -22.34   -22.41     0.73    -0.69     0.39     0.31     0.04    -0.21     0.00     0.00
   -40.00   100.00     0.00     1.25     1.52     0.75    -0.69   -22.41   -22.34     0.69    -0.73     0.31     0.39     0.21    -0.04     0.00     0.00
   -40.00  -100.00     0.00     1.79     1.52     0.63    -0.69   -22.35   -22.41     0.76    -0.73     0.46     0.39    -0.14    -0.04     0.00     0.00
   -40.00     0.00   100.00     1.52     1.79     0.69    -0.63   -22.41   -22.35     0.73    -0.76     0.39     0.46     0.04     0.14     0.00     0.00
   -40.00     0.00  -100.00     1.52     1.25     0.69    -0.75   -22.34   -22.41     0.73    -0.69     0.39     0.31     0.04    -0.21     0.00     0.00
